model_id,valid_question,category,automatic_score,evaluation_status,scored_response,image_count,api_successes,api_failures,error,reasoning_text,finish_reason,raw_response_file,dataset,model,mode,prompt_style,question_id,question,ground_truth,model_response,exact_match,row_f1,precision,recall,eval_status,latency_seconds,input_tokens,output_tokens
mistralai/mistral-small-2603,True,arithmetic_aggregation,0,evaluated_incorrect,8.19,5,1,0,,,stop,results/mistral_small/imdb_20_final45/20260915T115734862118Z/imdb_20_final45_llm_only_zero_shot_raw.jsonl,imdb_20_final45,mistral_small,llm_only,imdb_20_final45_llm_only_zero_shot,F1,"Among movies released in or after 2010, what is the average IMDb rating? Round the answer to two decimal places.","answer_text
8.01",8.19,0,,,,evaluated_incorrect,4.936,11917,5
mistralai/mistral-small-2603,True,genre_level_aggregation,0,evaluated_incorrect,Comedy 8.10,5,1,0,,,stop,results/mistral_small/imdb_20_final45/20260915T115734862118Z/imdb_20_final45_llm_only_zero_shot_raw.jsonl,imdb_20_final45,mistral_small,llm_only,imdb_20_final45_llm_only_zero_shot,F2,"Among genres appearing in at least 4 movies, which genre has the lowest average IMDb rating? Round the average to two decimal places.","answer_text
Sci-Fi - 8.08",Comedy 8.10,0,,,,evaluated_incorrect,3.629,11917,8
mistralai/mistral-small-2603,True,statistical_outlier_detection,0,evaluated_incorrect,"Saving Private Ryan, The Lord of the Rings: The Fellowship of the Ring, The Lord of the Rings: The Two Towers, The Wolf of Wall Street",5,1,0,,,stop,results/mistral_small/imdb_20_final45/20260915T115734862118Z/imdb_20_final45_llm_only_zero_shot_raw.jsonl,imdb_20_final45,mistral_small,llm_only,imdb_20_final45_llm_only_zero_shot,F3,"Among movies released in or after 2000, use the rule runtime > subset mean runtime + 1 population standard deviation. Which movies are runtime outliers?","answer_text
The Lord of the Rings: The Fellowship of the Ring; The Lord of the Rings: The Two Towers; The Wolf of Wall Street; Interstellar","Saving Private Ryan, The Lord of the Rings: The Fellowship of the Ring, The Lord of the Rings: The Two Towers, The Wolf of Wall Street",0,,,,evaluated_incorrect,3.578,11922,32
mistralai/mistral-small-2603,True,arithmetic_aggregation,0,evaluated_incorrect,103,5,1,0,,,stop,results/mistral_small/imdb_20_final45/20260915T115734862118Z/imdb_20_final45_llm_only_zero_shot_raw.jsonl,imdb_20_final45,mistral_small,llm_only,imdb_20_final45_llm_only_zero_shot,F4,What is the total runtime of all Adventure movies released in or after 2010?,"answer_text
621 minutes",103,0,,,,evaluated_incorrect,3.193,11908,4
mistralai/mistral-small-2603,True,genre_level_aggregation,0,evaluated_incorrect,Drama,5,1,0,,,stop,results/mistral_small/imdb_20_final45/20260915T115734862118Z/imdb_20_final45_llm_only_zero_shot_raw.jsonl,imdb_20_final45,mistral_small,llm_only,imdb_20_final45_llm_only_zero_shot,F5,"Among genres appearing in at least 3 movies, which genre has the largest IMDb rating range, calculated as maximum rating minus minimum rating?","answer_text
Action - 2.2 rating points",Drama,0,,,,evaluated_incorrect,3.027,11917,3
mistralai/mistral-small-2603,True,arithmetic_aggregation,0,evaluated_incorrect,140.00,5,1,0,,,stop,results/mistral_small/imdb_20_final45/20260915T115734862118Z/imdb_20_final45_llm_only_zero_shot_raw.jsonl,imdb_20_final45,mistral_small,llm_only,imdb_20_final45_llm_only_zero_shot,F6,Consider only directors who directed more than one movie in the dataset. What is the average runtime of all movies directed by those repeated directors? Round to two decimal places.,"answer_text
157.29 minutes",140.00,0,,,,evaluated_incorrect,2.967,11922,7
mistralai/mistral-small-2603,True,statistical_outlier_detection,0,evaluated_incorrect,The Dark Knight,5,1,0,,,stop,results/mistral_small/imdb_20_final45/20260915T115734862118Z/imdb_20_final45_llm_only_zero_shot_raw.jsonl,imdb_20_final45,mistral_small,llm_only,imdb_20_final45_llm_only_zero_shot,F7,"Using the 1.5 × IQR rule for IMDb ratings, with Q1 and Q3 calculated as the medians of the lower and upper halves, which movie is a rating outlier?","answer_text
Jurassic World - 6.9",The Dark Knight,0,,,,evaluated_incorrect,2.929,11930,4
mistralai/mistral-small-2603,True,arithmetic_aggregation,0,evaluated_incorrect,8.38 8.07 0.31,5,1,0,,,stop,results/mistral_small/imdb_20_final45/20260915T115734862118Z/imdb_20_final45_llm_only_zero_shot_raw.jsonl,imdb_20_final45,mistral_small,llm_only,imdb_20_final45_llm_only_zero_shot,F8,What is the difference between the average IMDb rating of movies released before 2000 and movies released in or after 2000? Report both averages and the difference.,"answer_text
Before 2000: 8.44; 2000 or after: 8.26; Difference: 0.18",8.38 8.07 0.31,0,,,,evaluated_incorrect,3.225,11927,15
mistralai/mistral-small-2603,True,genre_level_aggregation,0,evaluated_incorrect,Drama,5,1,0,,,stop,results/mistral_small/imdb_20_final45/20260915T115734862118Z/imdb_20_final45_llm_only_zero_shot_raw.jsonl,imdb_20_final45,mistral_small,llm_only,imdb_20_final45_llm_only_zero_shot,F9,"Among genres appearing in at least 3 movies, which genre has the highest total runtime across all its movies?","answer_text
Drama - 1608 minutes",Drama,0,,,,evaluated_incorrect,2.747,11911,3
mistralai/mistral-small-2603,True,arithmetic_aggregation,0,evaluated_incorrect,143.5,5,1,0,,,stop,results/mistral_small/imdb_20_final45/20260915T115734862118Z/imdb_20_final45_llm_only_zero_shot_raw.jsonl,imdb_20_final45,mistral_small,llm_only,imdb_20_final45_llm_only_zero_shot,F10,First calculate the overall mean runtime of all 20 movies. Then calculate the average IMDb rating of movies whose runtime is above that mean. Round the final rating to two decimal places.,"answer_text
8.53",143.5,0,,,,evaluated_incorrect,3.177,11927,6
