dataset,model,mode,prompt_style,question_id,question,ground_truth,model_response,exact_match,row_f1,precision,recall,eval_status,latency_seconds,input_tokens,output_tokens
tathybrid,mistral_small,llm_only,zero_shot,Q0001,What was the change in Accumulated amortization from 2018 to 2019?,-1073,"(3,633)",0,0.0,0.0,0.0,evaluated,1.367,8775,8
tathybrid,mistral_small,llm_only,zero_shot,Q0002,What was the amount in escrow as restricted cash at 2019 and 2018 respectively?,"72,000, 140,000",NA,0,0.0,0.0,0.0,evaluated,1.225,8036,2
tathybrid,mistral_small,llm_only,zero_shot,Q0003,What was the Compensation and related benefits in 2019 and 2018 respectively?,"$3,247, $949","2019: $1,557,926 (Nadir Ali), 2018: $723,717 (Nadir Ali)",0,0.0,0.0,0.0,evaluated,0.943,8531,40
tathybrid,mistral_small,llm_only,zero_shot,Q0004,What is the value of real estate taxes in 2018?,398,398,1,1.0,1.0,1.0,evaluated,0.697,9076,4
tathybrid,mistral_small,llm_only,zero_shot,Q0005,What is the average real estate taxes for 2018 and 2019?,398,398,1,1.0,1.0,1.0,evaluated,1.187,9640,4
tathybrid,mistral_small,llm_only,zero_shot,Q0006,What is the change in payroll and incentive compensation between 2018 and 2019?,1072,NA,0,0.0,0.0,0.0,evaluated,0.587,9532,2
tathybrid,mistral_small,llm_only,zero_shot,Q0007,What is the percentage constitution of net sales from Frozen Kefir among the total net sales in 2019?,1.73,2%,0,0.0,0.0,0.0,evaluated,1.035,7887,3
tathybrid,mistral_small,llm_only,zero_shot,Q0008,What is the percentage change in ingredients between 2018 and 2019?,22.91,NA,0,0.0,0.0,0.0,evaluated,0.603,8559,2
tathybrid,mistral_small,llm_only,zero_shot,Q0009,What is the value of recipes in 2018 and 2019 respectively?,"$ 44, $ 44",NA,0,0.0,0.0,0.0,evaluated,0.73,9546,2
tathybrid,mistral_small,llm_only,zero_shot,Q0010,What is the change in the value of customer relationships between 2018 and 2019?,0,NA,0,0.0,0.0,0.0,evaluated,0.757,8260,2
tathybrid,mistral_small,llm_only,zero_shot,Q0011,What is the average value of trade names for both 2018 and 2019?,2248,NA,0,0.0,0.0,0.0,evaluated,0.659,9826,2
tathybrid,mistral_small,llm_only,zero_shot,Q0012,What is the value of vehicles in 2018 and 2019 respectively?,"937, 778","778, 937",1,1.0,1.0,0.0,evaluated,0.667,9511,9
tathybrid,mistral_small,llm_only,zero_shot,Q0013,What is the average value of vehicles for 2018 and 2019?,857.5,757.5,0,0.0,0.0,0.0,evaluated,0.628,9353,6
tathybrid,mistral_small,llm_only,zero_shot,Q0014,What was the low sale price per share for each quarters in 2018 in chronological order?,"$ 5.99, $ 4.79, $ 2.66, $ 1.88","$5.99, $4.79, $2.66, $1.88",1,1.0,1.0,1.0,evaluated,0.917,10181,24
tathybrid,mistral_small,llm_only,zero_shot,Q0015,What is the value of customer relationships in 2018 and 2019 respectively?,"985, 985",NA,0,0.0,0.0,0.0,evaluated,0.567,8706,2
tathybrid,mistral_small,llm_only,zero_shot,Q0016,What is the value of buildings and improvements in 2018 and 2019 respectively?,"17,520, 17,332","17,520 (2018), 17,332 (2019)",1,1.0,1.0,1.0,evaluated,0.746,8571,26
tathybrid,mistral_small,llm_only,zero_shot,Q0017,What is the amount of net sales from ProBugs Kelir in 2018 and 2019 respectively?,"2,795, 2,780","2,795 (2018), 2,780 (2019)",1,1.0,1.0,1.0,evaluated,0.739,8509,24
tathybrid,mistral_small,llm_only,zero_shot,Q0018,What is net sales from cream and other in 2018 and 2019 respectively?,"5,276, 4,228","4,228, 5,276",0,0.0,0.0,0.0,evaluated,0.706,7339,13
tathybrid,mistral_small,llm_only,zero_shot,Q0019,What is the deferred provision (benefit) for income tax for 2018 and 2019 respectively?,"(461), 533","922, 390",0,0.0,0.0,0.0,evaluated,1.172,8695,9
tathybrid,mistral_small,llm_only,zero_shot,Q0020,What is the provision (benefit) for total current income taxes for 2018 and 2019 respectively?,"236, 249","782 (2019), (225) (2018)",0,0.0,0.0,0.0,evaluated,0.868,9066,21
tathybrid,mistral_small,llm_only,zero_shot,Q0021,"In which year was Operating Leases greater than 100,000?",2022,NA,0,0.0,0.0,0.0,evaluated,0.548,7265,2
tathybrid,mistral_small,llm_only,zero_shot,Q0022,"In which year was Increases for positions taken in prior years less than 1,000?",2018,NA,0,0.0,0.0,0.0,evaluated,1.065,9052,2
tathybrid,mistral_small,llm_only,zero_shot,Q0023,What was the Rate change in 2019 and 2018 respectively?,"(84), 0",NA,0,0.0,0.0,0.0,evaluated,1.209,8982,2
tathybrid,mistral_small,llm_only,zero_shot,Q0024,"What is the change in Liabilities: Deferred income taxes from Balance at December 31, 2017 to January 1, 2018?",-108,NA,0,0.0,0.0,0.0,evaluated,0.91,9135,2
tathybrid,mistral_small,llm_only,zero_shot,Q0025,"In which year was Prepaid expenditures less than 6,000?",2019,2019,1,1.0,1.0,1.0,evaluated,0.694,8695,5
tathybrid,mistral_small,llm_only,zero_shot,Q0026,What was the Prepaid expenditures in 2019 and 2018 respectively?,"5,621, 7,108","1,292, 9,886",0,0.0,0.0,0.0,evaluated,1.062,9499,13
tathybrid,mistral_small,llm_only,zero_shot,Q0027,What was the Contracts of affreightment revenues in 2019 and 2018 respectively?,"58,589, 68,698","33,275 (2019), 68,698 (2018)",0,0.0,0.0,0.0,evaluated,0.886,8863,26
tathybrid,mistral_small,llm_only,zero_shot,Q0028,"What was the value of Vessels, net in 2019 and 2018 respectively?","644,312, 596,929","644,312 (2019), 596,929 (2018)",1,1.0,1.0,1.0,evaluated,0.88,8353,28
tathybrid,mistral_small,llm_only,zero_shot,Q0029,What was the Time and bareboat charter revenues revenues in 2019 and 2018 respectively?,"$263,683, $213,923","2019: 263,683
2018: 213,923",1,1.0,1.0,1.0,evaluated,0.632,8611,28
