dataset,model,mode,prompt_style,question_id,q_type,q_level,q_category,question,ground_truth,model_response,exact_match,row_f1,precision,recall,eval_status,latency_seconds,input_tokens,output_tokens
hotpot,mistral_small,llm_only,hotpot_llm_only_zero_shot,BQ012,bridge,hard,bridge,"The American sleep researcher and neurologist born on December 27, 1972, who coined the term circadian advantage after studying travel effects on Major League Baseball teams and linked player sleepiness to reduced career longevity in 2013 — what specific research area did this individual investigate regarding Atlantic Coast Conference football players and their eventual draft success?",sleepiness as a predictor of NFL Draft value,Sleepiness as a predictor,0,0.6,1.0,0.428571,evaluated,0.419,1881.0,6.0
hotpot,mistral_small,llm_only,hotpot_llm_only_zero_shot,BQ017,bridge,hard,bridge,"Among the professional baseball left fielders described across these documents who were born in the 1990s and made their Major League Baseball debut in 2015, which one is the cousin of the player who debuted in 2013 and plays for the Miami Marlins?","Darrell Albert Ceciliani, Jr.",Darrell Ceciliani,0,0.666667,1.0,0.5,evaluated,0.413,1143.0,6.0
hotpot,mistral_small,llm_only,hotpot_llm_only_zero_shot,BQ020,bridge,hard,bridge,"Which United States Navy officer, born in the first decade of the 1900s and decorated with the Medal of Honor for actions during the capture of a German Type IXC U-boat off French West Africa in June 1944, was part of the boarding party that seized the vessel which became the first enemy ship captured by the U.S. Navy since the nineteenth century?",Albert Leroy David,Albert David,0,0.8,1.0,0.666667,evaluated,0.484,1652.0,3.0
hotpot,mistral_small,llm_only,hotpot_llm_only_zero_shot,BQ047,bridge,hard,bridge,What is the total number of games won by the coach who led the team that entered the 1991 NCAA tournament unbeaten over his entire career?,over 700,700+,0,0.666667,1.0,0.5,evaluated,0.478,2115.0,5.0
hotpot,mistral_small,llm_only,hotpot_llm_only_zero_shot,BQ054,comparison,hard,comparison,"The historical figure who served as Prefect of Bavaria under Charlemagne and was born into the Agilofing family — in the modern-day country corresponding to the region where he held that title, what is the cardinal direction of the area relative to the national capital?",South-Eastern,northeast,0,0.0,0.0,0.0,evaluated,0.45,1483.0,4.0
hotpot,mistral_small,llm_only,hotpot_llm_only_zero_shot,BQ059,comparison,hard,comparison,"Comparing the Scottish musician who wrote the second single from the album ""12 Memories"" and the American composer who scored the 1989 film ""Batman"", how many years older is the American composer?",20,18 years,0,0.0,0.0,0.0,evaluated,0.642,1331.0,4.0
hotpot,mistral_small,llm_only,hotpot_llm_only_zero_shot,BQ060,bridge,hard,bridge,"Considering the South Korean film director born on May 4, 1975, who directed a 2011 war film set during the Korean War ceasefire and a 2017 historical action drama starring Song Kang-ho, what is the difference in years between the release year of the war film and the release year of the historical action drama?",6,6 years,0,0.666667,0.5,1.0,evaluated,0.453,1323.0,3.0
hotpot,mistral_small,llm_only,hotpot_llm_only_zero_shot,BQ061,comparison,hard,comparison,"Considering the American actor who starred as the magician Oscar Diggs in the 2013 fantasy prequel directed by Sam Raimi and the Indian actor who made his debut in the 1992 romantic drama directed by Raj Kanwar, which performer was born earlier, and by how many years?",Shah Rukh Khan by 13 years,James Franco 34 years,0,0.2,0.25,0.166667,evaluated,0.69,2067.0,7.0
hotpot,mistral_small,llm_only,hotpot_llm_only_zero_shot,BQ065,bridge,hard,bridge,What is the length in miles of the tributary that begins west of the unincorporated community named for Richard Arthur and empties into the Monongahela River at Morgantown?,24.6,24.6 mi,0,0.666667,0.5,1.0,evaluated,0.421,1342.0,6.0
hotpot,mistral_small,llm_only,hotpot_llm_only_zero_shot,BQ069,comparison,hard,comparison,"Among the dog breeds explicitly identified as rare in the document discussing uncommon canine varieties, which one shares its classification as a griffon-type hunting dog with the wirehaired pointers and smousje lines recognized by the international canine federation?",Stabyhoun,Griffon Bruxellois,0,0.0,0.0,0.0,evaluated,0.415,1674.0,8.0
