dataset,model,mode,prompt_style,question_id,q_type,q_level,q_category,question,ground_truth,model_response,exact_match,row_f1,precision,recall,eval_status,latency_seconds,input_tokens,output_tokens
hotpot,gemini_flash,llm_only,hotpot_llm_only_zero_shot,BQ012,bridge,hard,bridge,"The American sleep researcher and neurologist born on December 27, 1972, who coined the term circadian advantage after studying travel effects on Major League Baseball teams and linked player sleepiness to reduced career longevity in 2013 — what specific research area did this individual investigate regarding Atlantic Coast Conference football players and their eventual draft success?",sleepiness as a predictor of NFL Draft value,Sleepiness as a predictor,0.0,0.6,1.0,0.428571,evaluated,0.625,1919.0,5.0
hotpot,gemini_flash,llm_only,hotpot_llm_only_zero_shot,BQ017,bridge,hard,bridge,"Among the professional baseball left fielders described across these documents who were born in the 1990s and made their Major League Baseball debut in 2015, which one is the cousin of the player who debuted in 2013 and plays for the Miami Marlins?","Darrell Albert Ceciliani, Jr.",,0.0,0.0,0.0,0.0,evaluated,0.636,1124.0,1.0
hotpot,gemini_flash,llm_only,hotpot_llm_only_zero_shot,BQ020,bridge,hard,bridge,"Which United States Navy officer, born in the first decade of the 1900s and decorated with the Medal of Honor for actions during the capture of a German Type IXC U-boat off French West Africa in June 1944, was part of the boarding party that seized the vessel which became the first enemy ship captured by the U.S. Navy since the nineteenth century?",Albert Leroy David,Albert David,0.0,0.8,1.0,0.666667,evaluated,0.676,1675.0,2.0
hotpot,gemini_flash,llm_only,hotpot_llm_only_zero_shot,BQ022,bridge,hard,bridge,What is the polyphony specification of the drum machine introduced by the Roland Corporation in 1983 that was the first to use samples for cymbal and hi-hat sounds alongside analog sounds and was also the first MIDI-equipped drum machine?,32-voice polyphony,Not specified,0.0,0.0,0.0,0.0,evaluated,0.735,1531.0,2.0
hotpot,gemini_flash,llm_only,hotpot_llm_only_zero_shot,BQ052,bridge,hard,bridge,"What is the name of the hotel and casino that was located on the Boardwalk in Atlantic City, New Jersey, owned by a gaming and hospitality company founded in 1995 by Donald Trump, and hosted a mixed martial arts event on October 22, 2004?",Trump Plaza,Trump Plaza Hotel and Casino,0.0,0.571429,0.4,1.0,evaluated,0.499,1517.0,5.0
hotpot,gemini_flash,llm_only,hotpot_llm_only_zero_shot,BQ054,comparison,hard,comparison,"The historical figure who served as Prefect of Bavaria under Charlemagne and was born into the Agilofing family — in the modern-day country corresponding to the region where he held that title, what is the cardinal direction of the area relative to the national capital?",South-Eastern,Southeast,0.0,0.0,0.0,0.0,evaluated,0.516,1484.0,1.0
hotpot,gemini_flash,llm_only,hotpot_llm_only_zero_shot,BQ059,comparison,hard,comparison,"Comparing the Scottish musician who wrote the second single from the album ""12 Memories"" and the American composer who scored the 1989 film ""Batman"", how many years older is the American composer?",20,20 years,0.0,0.666667,0.5,1.0,evaluated,0.507,1326.0,3.0
hotpot,gemini_flash,llm_only,hotpot_llm_only_zero_shot,BQ061,comparison,hard,comparison,"Considering the American actor who starred as the magician Oscar Diggs in the 2013 fantasy prequel directed by Sam Raimi and the Indian actor who made his debut in the 1992 romantic drama directed by Raj Kanwar, which performer was born earlier, and by how many years?",Shah Rukh Khan by 13 years,Shah Rukh Khan 13 years,0.0,0.909091,1.0,0.833333,evaluated,0.627,2049.0,7.0
hotpot,gemini_flash,llm_only,hotpot_llm_only_zero_shot,BQ065,bridge,hard,bridge,What is the length in miles of the tributary that begins west of the unincorporated community named for Richard Arthur and empties into the Monongahela River at Morgantown?,24.6,24.6 mi,0.0,0.666667,0.5,1.0,evaluated,0.566,1319.0,5.0
hotpot,gemini_flash,llm_only,hotpot_llm_only_zero_shot,BQ069,comparison,hard,comparison,"Among the dog breeds explicitly identified as rare in the document discussing uncommon canine varieties, which one shares its classification as a griffon-type hunting dog with the wirehaired pointers and smousje lines recognized by the international canine federation?",Stabyhoun,,0.0,0.0,0.0,0.0,evaluated,0.628,1660.0,1.0
hotpot,gemini_flash,llm_only,hotpot_llm_only_zero_shot,BQ070,bridge,hard,bridge,"Among the individuals described across the provided texts who were affiliated with Princeton University and received a Nobel Prize in Physics, which one was born in the same year as the Hungarian-American physicist who emigrated from Hungary in 1957 and later worked at the Princeton Plasma Physics Laboratory?",Daniel Chee Tsui,Daniel C Tsui,0.0,0.666667,0.666667,0.666667,evaluated,0.733,2080.0,4.0
hotpot,gemini_flash,llm_only,hotpot_llm_only_zero_shot,BQ073,comparison,hard,comparison,"Among the publications described in the provided documents that are explicitly identified as magazines, which one is published by a company headquartered in Germany, and what is the name of that publishing company?",Bauer Media Group,Heat Bauer Media Group,0.0,0.857143,0.75,1.0,evaluated,0.533,2357.0,4.0
hotpot,gemini_flash,llm_only,hotpot_llm_only_zero_shot,BQ074,comparison,hard,comparison,"Identify the Ottoman newspaper editor who was assassinated while crossing the bridge that spans the Golden Horn and has featured in Turkish literature since the late 19th century, and name the publication he led.","Hasan Fehmi Bey, Serbestî",Hasan Fehmi Serbestî,0.0,0.857143,1.0,0.75,evaluated,0.825,1543.0,7.0
hotpot,gemini_flash,llm_only,hotpot_llm_only_zero_shot,BQ093,bridge,hard,bridge,"Which football club, founded in 1912 and a founder member of the Football League's Third Division in 1920, won the 93rd season of the main domestic football cup competition in Wales by winning both legs of the final against Shrewsbury Town?",Newport County Association Football Club,Newport County,0.0,0.571429,1.0,0.4,evaluated,0.683,1361.0,3.0
hotpot,gemini_flash,llm_only,hotpot_llm_only_zero_shot,BQ095,comparison,hard,comparison,"Which composer, born in the late 18th century and associated with the bel canto opera style, wrote the opera that premiered at the Teatro Valle in Rome on 4 February 1824 and was later renamed Don Gregorio for its Naples production?",Domenico Gaetano Maria Donizetti,Gaetano Donizetti,0.0,0.666667,1.0,0.5,evaluated,0.641,2158.0,5.0
hotpot,gemini_flash,llm_only,hotpot_llm_only_zero_shot,CQ004,bridge,hard,formal_full_name,What is the full name of the captain of the Australian team that won the 1930 Ashes series?,"William Maldon ""Bill"" Woodfull",William Maldon Woodfull,0.0,0.857143,1.0,0.75,evaluated,0.535,2428.0,4.0
hotpot,gemini_flash,llm_only,hotpot_llm_only_zero_shot,CQ008,comparison,hard,exact_award_name,José Saramago and Ivo Andrić were recipients of what award in Literature?,Nobel Prize in Literature,Nobel Prize,0.0,0.666667,1.0,0.5,evaluated,0.772,1496.0,3.0
hotpot,gemini_flash,llm_only,hotpot_llm_only_zero_shot,CQ015,comparison,hard,shared_classification,Are Random House Tower and 888 7th Avenue both used for real estate?,no,Yes,0.0,0.0,0.0,0.0,evaluated,0.582,3113.0,1.0
hotpot,gemini_flash,llm_only,hotpot_llm_only_zero_shot,HQ003,comparison,extremely_hard,comparison,0,0.0,0.0,0.0,evaluated,0.799,111.0,2,,,
hotpot,gemini_flash,llm_only,hotpot_llm_only_zero_shot,HQ005,bridge,extremely_hard,bridge,0,0.0,0.0,0.0,evaluated,1.437,83.0,4,,,
hotpot,gemini_flash,llm_only,hotpot_llm_only_zero_shot,HQ008,bridge,extremely_hard,arithmetic_chain,0,0.0,0.0,0.0,evaluated,0.58,91.0,2,,,
hotpot,gemini_flash,llm_only,hotpot_llm_only_zero_shot,HQ010,comparison,extremely_hard,cardinal_direction,0,0.0,0.0,0.0,evaluated,0.945,80.0,1,,,
hotpot,gemini_flash,llm_only,hotpot_llm_only_zero_shot,HQ012,bridge,extremely_hard,bridge,0,0.0,0.0,0.0,evaluated,0.642,80.0,4,,,
hotpot,gemini_flash,llm_only,hotpot_llm_only_zero_shot,HQ014,bridge,extremely_hard,bridge,0,0.0,0.0,0.0,evaluated,0.678,90.0,4,,,
