dataset,model,mode,prompt_style,question_id,question,ground_truth,model_response,exact_match,row_f1,precision,recall,eval_status,latency_seconds,input_tokens,output_tokens
tathybrid,gemini_flash,llm_only,zero_shot,Q0001,What was the change in Accumulated amortization from 2018 to 2019?,-1073,"$3,633,000",0,0.0,0.0,0.0,evaluated,1.327,8433,10
tathybrid,gemini_flash,llm_only,zero_shot,Q0002,What was the amount in escrow as restricted cash at 2019 and 2018 respectively?,"72,000, 140,000",NA,0,0.0,0.0,0.0,evaluated,1.143,7696,1
tathybrid,gemini_flash,llm_only,zero_shot,Q0003,What was the Compensation and related benefits in 2019 and 2018 respectively?,"$3,247, $949","2019: $3,347,648; 2018: $1,526,177",0,0.0,0.0,0.0,evaluated,2.014,8281,32
tathybrid,gemini_flash,llm_only,zero_shot,Q0004,What is the value of real estate taxes in 2018?,398,$398,1,1.0,1.0,1.0,evaluated,1.633,8746,4
tathybrid,gemini_flash,llm_only,zero_shot,Q0005,What is the average real estate taxes for 2018 and 2019?,398,$398,1,1.0,1.0,1.0,evaluated,0.893,9290,4
tathybrid,gemini_flash,llm_only,zero_shot,Q0006,What is the change in payroll and incentive compensation between 2018 and 2019?,1072,NA,0,0.0,0.0,0.0,evaluated,0.831,9190,1
tathybrid,gemini_flash,llm_only,zero_shot,Q0007,What is the percentage constitution of net sales from Frozen Kefir among the total net sales in 2019?,1.73,2%,0,0.0,0.0,0.0,evaluated,1.09,7564,2
tathybrid,gemini_flash,llm_only,zero_shot,Q0008,What is the percentage change in ingredients between 2018 and 2019?,22.91,NA,0,0.0,0.0,0.0,evaluated,0.783,8222,1
tathybrid,gemini_flash,llm_only,zero_shot,Q0009,What is the value of recipes in 2018 and 2019 respectively?,"$ 44, $ 44",NA,0,0.0,0.0,0.0,evaluated,0.58,9136,1
tathybrid,gemini_flash,llm_only,zero_shot,Q0010,What is the change in the value of customer relationships between 2018 and 2019?,0,NA,0,0.0,0.0,0.0,evaluated,0.499,7951,1
tathybrid,gemini_flash,llm_only,zero_shot,Q0011,What is the average value of trade names for both 2018 and 2019?,2248,"$3,700",0,0.0,0.0,0.0,evaluated,0.681,9502,6
tathybrid,gemini_flash,llm_only,zero_shot,Q0012,What is the value of vehicles in 2018 and 2019 respectively?,"937, 778",2018: $937; 2019: $778,1,1.0,1.0,1.0,evaluated,0.877,9182,20
tathybrid,gemini_flash,llm_only,zero_shot,Q0013,What is the average value of vehicles for 2018 and 2019?,857.5,$857.50,1,1.0,1.0,1.0,evaluated,0.646,9028,7
tathybrid,gemini_flash,llm_only,zero_shot,Q0014,What was the low sale price per share for each quarters in 2018 in chronological order?,"$ 5.99, $ 4.79, $ 2.66, $ 1.88","First Quarter: $5.99, Second Quarter: $4.79, Third Quarter: $2.66, Fourth Quarter: $1.88",1,1.0,1.0,1.0,evaluated,1.006,9817,35
tathybrid,gemini_flash,llm_only,zero_shot,Q0015,What is the value of customer relationships in 2018 and 2019 respectively?,"985, 985",NA,0,0.0,0.0,0.0,evaluated,0.559,8401,1
tathybrid,gemini_flash,llm_only,zero_shot,Q0016,What is the value of buildings and improvements in 2018 and 2019 respectively?,"17,520, 17,332","2018: $17,520; 2019: $17,332",1,1.0,1.0,1.0,evaluated,1.178,8310,26
