model_id,valid_question,category,automatic_score,evaluation_status,scored_response,image_count,api_successes,api_failures,error,reasoning_text,finish_reason,raw_response_file,dataset,model,mode,prompt_style,question_id,question,ground_truth,model_response,exact_match,row_f1,precision,recall,eval_status,latency_seconds,input_tokens,output_tokens
google/gemini-3.1-flash-lite,True,arithmetic_aggregation,0,evaluated_incorrect,8.00,5,1,0,,,stop,results/gemini_flash/imdb_20_final45/20260915T120134225611Z/imdb_20_final45_llm_only_zero_shot_raw.jsonl,imdb_20_final45,gemini_flash,llm_only,imdb_20_final45_llm_only_zero_shot,F1,"Among movies released in or after 2010, what is the average IMDb rating? Round the answer to two decimal places.","answer_text
8.01",8.00,0,,,,evaluated_incorrect,2.812,5652,4
google/gemini-3.1-flash-lite,True,genre_level_aggregation,0,evaluated_incorrect,Comedy,5,1,0,,,stop,results/gemini_flash/imdb_20_final45/20260915T120134225611Z/imdb_20_final45_llm_only_zero_shot_raw.jsonl,imdb_20_final45,gemini_flash,llm_only,imdb_20_final45_llm_only_zero_shot,F2,"Among genres appearing in at least 4 movies, which genre has the lowest average IMDb rating? Round the average to two decimal places.","answer_text
Sci-Fi - 8.08",Comedy,0,,,,evaluated_incorrect,1.312,5652,1
google/gemini-3.1-flash-lite,True,statistical_outlier_detection,0,evaluated_incorrect,"The movies released in or after 2000 are:
1. Memento (113)
2. The Lord of the Rings: The Fellowship of the Ring (178)
3. Monsters Inc. (92)
4. Catch Me If You Can (141)
5. The Lord of the Rings: The Two Towers (179)
6. The Dark Knight (152)
7. Inglourious Basterds (153)
8. Toy Story 3 (103)
9. How to Train Your Dragon (98)
10. Black Swan (108)
11. The Avengers (143)
12. Life of Pi (127)
13. The Wolf of Wall Street (180)
14. Interstellar (169)
15. Jurassic World (124)

Subset Runtimes: {113, 178, 92, 141, 179, 152, 153, 103, 98, 108, 143, 127, 180, 169, 124}
Subset Mean: 1860 / 15 = 124
Population Variance: [(113-124)^2 + (178-124)^2 + (92-124)^2 + (141-124)^2 + (179-124)^2 + (152-124)^2 + (153-124)^2 + (103-124)^2 + (98-124)^2 + (108-124)^2 + (143-124)^2 + (127-124)^2 + (180-124)^2 + (169-124)^2 + (124-124)^2] / 15
= [121 + 2916 + 1024 + 289 + 3025 + 784 + 841 + 441 + 676 + 256 + 361 + 9 + 3136 + 2025 + 0] / 15
= 15904 / 15 = 1060.2666666666667
Population Standard Deviation: sqrt(1060.2666666666667) ≈ 32.561736236286
Threshold (Mean + 1 SD): 124 + 32.561736236286 = 156.561736236286

Movies with runtime > 156.561736236286:
- The Lord of the Rings: The Fellowship of the Ring (178)
- The Lord of the Rings: The Two Towers (179)
- The Wolf of Wall Street (180)
- Interstellar (169)

The Lord of the Rings: The Fellowship of the Ring, The Lord of the Rings: The Two Towers, The Wolf of Wall Street, Interstellar",5,1,0,,,stop,results/gemini_flash/imdb_20_final45/20260915T120134225611Z/imdb_20_final45_llm_only_zero_shot_raw.jsonl,imdb_20_final45,gemini_flash,llm_only,imdb_20_final45_llm_only_zero_shot,F3,"Among movies released in or after 2000, use the rule runtime > subset mean runtime + 1 population standard deviation. Which movies are runtime outliers?","answer_text
The Lord of the Rings: The Fellowship of the Ring; The Lord of the Rings: The Two Towers; The Wolf of Wall Street; Interstellar","The movies released in or after 2000 are:
1. Memento (113)
2. The Lord of the Rings: The Fellowship of the Ring (178)
3. Monsters Inc. (92)
4. Catch Me If You Can (141)
5. The Lord of the Rings: The Two Towers (179)
6. The Dark Knight (152)
7. Inglourious Basterds (153)
8. Toy Story 3 (103)
9. How to Train Your Dragon (98)
10. Black Swan (108)
11. The Avengers (143)
12. Life of Pi (127)
13. The Wolf of Wall Street (180)
14. Interstellar (169)
15. Jurassic World (124)

Subset Runtimes: {113, 178, 92, 141, 179, 152, 153, 103, 98, 108, 143, 127, 180, 169, 124}
Subset Mean: 1860 / 15 = 124
Population Variance: [(113-124)^2 + (178-124)^2 + (92-124)^2 + (141-124)^2 + (179-124)^2 + (152-124)^2 + (153-124)^2 + (103-124)^2 + (98-124)^2 + (108-124)^2 + (143-124)^2 + (127-124)^2 + (180-124)^2 + (169-124)^2 + (124-124)^2] / 15
= [121 + 2916 + 1024 + 289 + 3025 + 784 + 841 + 441 + 676 + 256 + 361 + 9 + 3136 + 2025 + 0] / 15
= 15904 / 15 = 1060.2666666666667
Population Standard Deviation: sqrt(1060.2666666666667) ≈ 32.561736236286
Threshold (Mean + 1 SD): 124 + 32.561736236286 = 156.561736236286

Movies with runtime > 156.561736236286:
- The Lord of the Rings: The Fellowship of the Ring (178)
- The Lord of the Rings: The Two Towers (179)
- The Wolf of Wall Street (180)
- Interstellar (169)

The Lord of the Rings: The Fellowship of the Ring, The Lord of the Rings: The Two Towers, The Wolf of Wall Street, Interstellar",0,,,,evaluated_incorrect,15.86,5659,588
google/gemini-3.1-flash-lite,True,arithmetic_aggregation,0,evaluated_incorrect,621,5,1,0,,,stop,results/gemini_flash/imdb_20_final45/20260915T120134225611Z/imdb_20_final45_llm_only_zero_shot_raw.jsonl,imdb_20_final45,gemini_flash,llm_only,imdb_20_final45_llm_only_zero_shot,F4,What is the total runtime of all Adventure movies released in or after 2010?,"answer_text
621 minutes",621,0,,,,evaluated_incorrect,1.469,5644,3
google/gemini-3.1-flash-lite,True,genre_level_aggregation,0,evaluated_incorrect,Adventure,5,1,0,,,stop,results/gemini_flash/imdb_20_final45/20260915T120134225611Z/imdb_20_final45_llm_only_zero_shot_raw.jsonl,imdb_20_final45,gemini_flash,llm_only,imdb_20_final45_llm_only_zero_shot,F5,"Among genres appearing in at least 3 movies, which genre has the largest IMDb rating range, calculated as maximum rating minus minimum rating?","answer_text
Action - 2.2 rating points",Adventure,0,,,,evaluated_incorrect,1.454,5652,1
google/gemini-3.1-flash-lite,True,arithmetic_aggregation,0,evaluated_incorrect,148.00,5,1,0,,,stop,results/gemini_flash/imdb_20_final45/20260915T120134225611Z/imdb_20_final45_llm_only_zero_shot_raw.jsonl,imdb_20_final45,gemini_flash,llm_only,imdb_20_final45_llm_only_zero_shot,F6,Consider only directors who directed more than one movie in the dataset. What is the average runtime of all movies directed by those repeated directors? Round to two decimal places.,"answer_text
157.29 minutes",148.00,0,,,,evaluated_incorrect,2.064,5658,6
google/gemini-3.1-flash-lite,True,statistical_outlier_detection,0,evaluated_incorrect,Jurassic World,5,1,0,,,stop,results/gemini_flash/imdb_20_final45/20260915T120134225611Z/imdb_20_final45_llm_only_zero_shot_raw.jsonl,imdb_20_final45,gemini_flash,llm_only,imdb_20_final45_llm_only_zero_shot,F7,"Using the 1.5 × IQR rule for IMDb ratings, with Q1 and Q3 calculated as the medians of the lower and upper halves, which movie is a rating outlier?","answer_text
Jurassic World - 6.9",Jurassic World,0,,,,evaluated_incorrect,1.548,5663,2
google/gemini-3.1-flash-lite,True,arithmetic_aggregation,0,evaluated_incorrect,"Average IMDb rating of movies released before 2000: 8.42
Average IMDb rating of movies released in or after 2000: 8.23
Difference: 0.19",5,1,0,,,stop,results/gemini_flash/imdb_20_final45/20260915T120134225611Z/imdb_20_final45_llm_only_zero_shot_raw.jsonl,imdb_20_final45,gemini_flash,llm_only,imdb_20_final45_llm_only_zero_shot,F8,What is the difference between the average IMDb rating of movies released before 2000 and movies released in or after 2000? Report both averages and the difference.,"answer_text
Before 2000: 8.44; 2000 or after: 8.26; Difference: 0.18","Average IMDb rating of movies released before 2000: 8.42
Average IMDb rating of movies released in or after 2000: 8.23
Difference: 0.19",0,,,,evaluated_incorrect,1.635,5662,47
google/gemini-3.1-flash-lite,True,genre_level_aggregation,0,evaluated_incorrect,Drama,5,1,0,,,stop,results/gemini_flash/imdb_20_final45/20260915T120134225611Z/imdb_20_final45_llm_only_zero_shot_raw.jsonl,imdb_20_final45,gemini_flash,llm_only,imdb_20_final45_llm_only_zero_shot,F9,"Among genres appearing in at least 3 movies, which genre has the highest total runtime across all its movies?","answer_text
Drama - 1608 minutes",Drama,0,,,,evaluated_incorrect,1.121,5647,1
google/gemini-3.1-flash-lite,True,arithmetic_aggregation,0,evaluated_incorrect,8.44,5,1,0,,,stop,results/gemini_flash/imdb_20_final45/20260915T120134225611Z/imdb_20_final45_llm_only_zero_shot_raw.jsonl,imdb_20_final45,gemini_flash,llm_only,imdb_20_final45_llm_only_zero_shot,F10,First calculate the overall mean runtime of all 20 movies. Then calculate the average IMDb rating of movies whose runtime is above that mean. Round the final rating to two decimal places.,"answer_text
8.53",8.44,0,,,,evaluated_incorrect,6.229,5662,4
