dataset,model,mode,prompt_style,question_id,question,ground_truth,model_response,exact_match,row_f1,precision,recall,eval_status,latency_seconds,input_tokens,output_tokens
finhybrid,mistral_small,llm_only,zero_shot,Q0001,"during the 2012 year , did the equity awards in which the prescribed performance milestones were achieved exceed the equity award compensation expense for equity granted during the year?",yes,NA,0,0.0,0.0,0.0,evaluated,1.925,7773,2
finhybrid,mistral_small,llm_only,zero_shot,Q0002,"for equity awards where the performance criteria has been met in 2012 , what is the average compensation expense per year over which the cost will be expensed?",1719526,3.6 million,0,0.0,0.0,0.0,evaluated,0.752,8861,5
finhybrid,mistral_small,llm_only,zero_shot,Q0003,did abiomed outperform the nasdaq medical equipment index?,yes,Yes,1,1.0,1.0,1.0,evaluated,0.946,8512,2
finhybrid,mistral_small,llm_only,zero_shot,Q0004,did abiomed outperform the nasdaq composite index?,yes,Yes,1,1.0,1.0,1.0,evaluated,0.629,9311,2
finhybrid,mistral_small,llm_only,zero_shot,Q0005,how much of total future minimum lease payments are due currently?,35%,"1,473",0,0.0,0.0,0.0,evaluated,0.619,7982,6
finhybrid,mistral_small,llm_only,zero_shot,Q0006,what is the roi of an investment in abiomed inc from march 2007 to march 2010?,-24.5%,NA,0,0.0,0.0,0.0,evaluated,1.269,10304,2
finhybrid,mistral_small,llm_only,zero_shot,Q0007,what is the roi of an investment in nasdaq composite index from march 2007 to march 2010?,-1.0%,127.66,0,0.0,0.0,0.0,evaluated,1.299,10670,7
finhybrid,mistral_small,llm_only,zero_shot,Q0008,what is the the interest expense in 2009?,380,"$2,502",0,0.0,0.0,0.0,evaluated,1.194,7386,7
finhybrid,mistral_small,llm_only,zero_shot,Q0009,what is the expected growth rate in amortization expense in 2010?,-27.0%,NA,0,0.0,0.0,0.0,evaluated,0.661,6902,2
finhybrid,mistral_small,llm_only,zero_shot,Q0010,what is the percentage increase in interest expanse and penalties in 2009?,30.8%,NA,0,0.0,0.0,0.0,evaluated,1.139,7302,2
finhybrid,mistral_small,llm_only,zero_shot,Q0011,"what is the lobor rate as of october 31 , 2009?",29.0%,2.34%,0,0.0,0.0,0.0,evaluated,0.631,7768,6
finhybrid,mistral_small,llm_only,zero_shot,Q0012,what percentage did the balance increase from 2007 to 2009?,83.6%,83.83%,0,0.0,0.0,0.0,evaluated,0.595,7561,7
finhybrid,mistral_small,llm_only,zero_shot,Q0013,what would be the balance if the company suffered the potential total tax liability of the 2006 and 2007 irs examination?,$ 17966 million,$390 million,0,0.0,0.0,0.0,evaluated,0.643,7017,6
finhybrid,mistral_small,llm_only,zero_shot,Q0014,"in millions , for 2016 , 2015 , and 2014 what was the total amount of common share repurchases?",90.1,3.05 billion,0,0.0,0.0,0.0,evaluated,0.802,9560,6
finhybrid,mistral_small,llm_only,zero_shot,Q0015,of the total aus net inflows/ ( outflows ) for 2014 were fixed income asset inflows in connection with our acquisition of deutsche asset & wealth management 2019s stable value business greater than the liquidity products inflows in connection with our acquisition of rbs asset management 2019s money market funds?,yes,19 billion,0,0.0,0.0,0.0,evaluated,7.041,9700,4
finhybrid,mistral_small,llm_only,zero_shot,Q0016,"in billions , for 2016 , 2015 , and 2014 , what are total alternative investments?",439,"2016: 149, 2015: 145, 2014: 145",0,0.0,0.0,0.0,evaluated,1.034,8760,32
finhybrid,mistral_small,llm_only,zero_shot,Q0017,what was the difference in millions between the total cost of common shares repurchases from 2015 to 2016?,1874,6070 million,0,0.0,0.0,0.0,evaluated,0.587,9322,6
finhybrid,mistral_small,llm_only,zero_shot,Q0018,what were total investment commitments in billions for 2016 and 2015 related to commitments to invest in funds managed by the firm?,4.96,NA,0,0.0,0.0,0.0,evaluated,1.357,8539,2
finhybrid,mistral_small,llm_only,zero_shot,Q0019,what was the difference in millions between the total cost of common shares repurchases from 2015 to 2016?,-1274,1870 million,0,0.0,0.0,0.0,evaluated,0.744,9322,6
finhybrid,mistral_small,llm_only,zero_shot,Q0020,"what was total shareholders 2019 equity common equity dividends declared per common share in 2016 , 2015 and 2014?",7.40,"2.60, 2.55, 2.25",0,0.0,0.0,0.0,evaluated,0.749,10553,17
finhybrid,mistral_small,llm_only,zero_shot,Q0021,what is the debt-to-total asset ratio in 2015?,2.7%,NA,0,0.0,0.0,0.0,evaluated,0.729,10503,2
