dataset,model,mode,prompt_style,question_id,question,ground_truth,model_response,exact_match,row_f1,precision,recall,eval_status,latency_seconds,input_tokens,output_tokens
f1_racing,nemotron,sql_detour,f1_racing_sql_detour_zero_shot,T01,What is the total number of championship points awarded to all drivers combined in the Australian Grand Prix 2009?,39,"WITH race AS (
    SELECT raceId
    FROM races
    WHERE year = 2009
      AND name = 'Australian Grand Prix'
)
SELECT SUM(COALESCE(r.points, 0)) AS total_points
FROM results r
JOIN race ra ON r.raceId = ra.raceId;",1,1.0,1.0,1.0,evaluated,99.494,774,286
f1_racing,nemotron,sql_detour,f1_racing_sql_detour_zero_shot,T02,How many drivers were officially classified as finishers (completed the race or were lapped) in the Australian Grand Prix 2009?,12,"We need to answer: ""How many drivers were officially classified as finishers (completed the race or were lapped) in the Australian Grand Prix 2009?""

We have database schema. Need to find the raceId for Australian Grand Prix 2009. Then count drivers classified as finishers. In F1, ""classified finishers"" are those who completed the race or were lapped but still classified (i.e., they have a positionOrder not null? Actually positionOrder is numeric ordering; for DNF they may have positionOrder > number of finishers? In results table, positionText can be 'R' for retired, but positionOrder still gives numeric order including non-finishers? Usually classification includes those who completed >90% distance. But the question says ""officially classified as finishers (completed the race or were lapped)"". In results, there is statusId referencing status table. Status may indicate 'Finished', '+1 Lap', etc. But we don't have status table content. However we can infer: finishers have positionOrder <= number of classified? Simpler: count results where positionOrder is not null and positionText not like 'R'? But positionText can be numeric for finishers, 'R' for retired, 'D' for disqualified, etc. The question likely expects counting rows in results for that race where positionOrder is not null and status indicates finished or lapped. Since we don't have status description, maybe we can use results.positionOrder and results.laps? But we don't have total laps.

Given limited info, typical approach: classified finishers are those with positionOrder <= (select count(*) from results where raceId = ... and positionOrder is not null and positionText not like '%R%')? Hmm.

But maybe the results table includes all drivers who started, and those who are classified have a numeric position (positionText numeric) while non-classified have 'R', 'D', etc. So we can count where positionText NOT LIKE '%R%' AND positionText NOT LIKE '%D%' AND positionText NOT LIKE '%E%' etc. But safer: count where results.positionOrder IS NOT NULL AND results.positionText GLOB '[0-9]*'? Actually positionText for finishers is numeric string like '1', '2', etc. For non-finishers it's 'R', 'D', 'F', etc. So we can count where positionText NOT IN ('R','D','F','",0,0.0,0.0,0.0,sql_error: empty_generated_sql,130.189,779,512
f1_racing,nemotron,sql_detour,f1_racing_sql_detour_zero_shot,T03,What is the combined total number of laps completed by all drivers in the Australian Grand Prix 2009?,1005,"```sql
SELECT SUM(COALESCE(r.laps, 0)) AS total_laps
FROM results r
JOIN races ra ON r.raceId = ra.raceId
WHERE ra.year = 2009
  AND ra.name = 'Australian Grand Prix';
```",1,1.0,1.0,1.0,evaluated,146.014,773,281
f1_racing,nemotron,sql_detour,f1_racing_sql_detour_zero_shot,T04,How many drivers scored at least one championship point in the Australian Grand Prix 2009?,8,"WITH race AS (
    SELECT raceId
    FROM races
    WHERE year = 2009
      AND name = 'Australian Grand Prix'
)
SELECT COUNT(DISTINCT r.driverId) AS drivers_with_points
FROM results r
JOIN race ra ON r.raceId = ra.raceId
WHERE r.points > 0;",1,1.0,1.0,1.0,evaluated,140.751,770,324
f1_racing,nemotron,sql_detour,f1_racing_sql_detour_zero_shot,T05,What is the average number of championship points scored per driver in the Australian Grand Prix 2009? Give your answer rounded to 2 decimal places.,1.95,"SELECT ROUND(AVG(COALESCE(points, 0)), 2) AS avg_points
FROM results
WHERE raceId = (
    SELECT raceId
    FROM races
    WHERE name = 'Australian Grand Prix' AND year = 2009
    LIMIT 1
);",1,1.0,1.0,1.0,evaluated,318.108,782,363
f1_racing,nemotron,sql_detour,f1_racing_sql_detour_zero_shot,T06,Which driver gained the most positions from their starting grid slot to their final finishing position in the Australian Grand Prix 2009?,Jarno Trulli,"WITH race AS (
    SELECT raceId
    FROM races
    WHERE name = 'Australian Grand Prix' AND year = 2009
),
gains AS (
    SELECT r.driverId,
           (r.grid - r.positionOrder) AS positions_gained
    FROM results r
    JOIN race rc ON r.raceId = rc.raceId
    WHERE r.grid IS NOT NULL AND r.positionOrder IS NOT NULL
)
SELECT d.forename || ' ' || d.surname AS driver_name
FROM gains g
JOIN drivers d ON g.driverId = d.driverId
ORDER BY g.pos",0,0.0,0.0,0.0,"sql_error: Execution failed on sql 'WITH race AS (
    SELECT raceId
    FROM races
    WHERE name = 'Australian Grand Prix' AND year = 2009
),
gains AS (
    SELECT r.driverId,
           (r.grid - r.positionOrder) AS positions_gained
    FROM results r
    JOIN race rc ON r.raceId = rc.raceId
    WHERE r.grid IS NOT NULL AND r.positionOrder IS NOT NULL
)
SELECT d.forename || ' ' || d.surname AS driver_name
FROM gains g
JOIN drivers d ON g.driverId = d.driverId
ORDER BY g.pos': no such column: g.pos",120.248,777,512
f1_racing,nemotron,sql_detour,f1_racing_sql_detour_zero_shot,T07,Which driver lost the most positions from their starting grid slot to their final finishing position in the Australian Grand Prix 2009?,Sebastian Vettel,"WITH race AS (
    SELECT raceId
    FROM races
    WHERE year = 2009
      AND name = 'Australian Grand Prix'
)
SELECT d.forename || ' ' || d.surname AS driver,
       (res.positionOrder - res.grid) AS positions_lost
FROM results res
JOIN race r ON res.raceId = r.raceId
JOIN drivers d ON res.driverId = d.driverId
WHERE res.positionOrder IS NOT NULL
  AND res.grid IS NOT NULL
ORDER BY positions_lost DESC
LIMIT 1;",0,0.0,0.0,0.0,evaluated,264.888,777,506
f1_racing,nemotron,sql_detour,f1_racing_sql_detour_zero_shot,T08,Which constructor scored the most combined points across both their drivers in the Australian Grand Prix 2009?,Brawn,"WITH race AS (
    SELECT raceId
    FROM races
    WHERE year = 2009
      AND name = 'Australian Grand Prix'
)
SELECT c.name AS constructor_name,
       SUM(COALESCE(r.points, 0)) AS total_points
FROM results r
JOIN race ra ON r.raceId = ra.raceId
JOIN constructors c ON r.constructorId = c.constructorId
GROUP BY c.constructorId, c.name
ORDER BY total_points DESC
LIMIT 1;",0,0.0,0.0,0.0,evaluated,136.528,772,481
f1_racing,nemotron,sql_detour,f1_racing_sql_detour_zero_shot,T09,How many total points did Brawn score across both drivers in the Australian Grand Prix 2009?,18.0,"```sql
SELECT SUM(r.points) AS total_points
FROM results r
JOIN constructors c ON r.constructorId = c.constructorId
JOIN races ra ON r.raceId = ra.raceId
WHERE c.name = 'Brawn'
  AND ra.year = 2009
  AND ra.name = 'Australian Grand Prix';
```",1,1.0,1.0,1.0,evaluated,148.611,772,387
f1_racing,nemotron,sql_detour,f1_racing_sql_detour_zero_shot,T10,Which driver set the single fastest individual lap time during the Australian Grand Prix 2009?,Nico Rosberg,"WITH race AS (
    SELECT raceId
    FROM races
    WHERE year = 2009
      AND name = 'Australian Grand Prix'
)
SELECT d.forename || ' ' || d.surname AS driver_name
FROM lap_times lt
JOIN race r ON lt.raceId = r.raceId
JOIN drivers d ON lt.driverId = d.driverId
ORDER BY lt.milliseconds ASC
LIMIT 1;",1,1.0,1.0,1.0,evaluated,198.328,770,421
