dataset,model,mode,prompt_style,question_id,question,ground_truth,model_response,exact_match,row_f1,precision,recall,eval_status,latency_seconds,input_tokens,output_tokens
f1_racing,mistral_small,llm_only,llm_only_zero_shot,T01,What is the total number of championship points awarded to all drivers combined in the Australian Grand Prix 2009?,39,29,0,0.0,0.0,0.0,evaluated,1.633,23641,3
f1_racing,mistral_small,llm_only,llm_only_zero_shot,T02,How many drivers are recorded with a 'Finished' status in the Australian Grand Prix 2009?,11,20,0,0.0,0.0,0.0,evaluated,0.586,23639,3
f1_racing,mistral_small,llm_only,llm_only_zero_shot,T03,What is the combined total number of laps completed by all drivers in the Australian Grand Prix 2009?,1005,2915,0,0.0,0.0,0.0,evaluated,0.547,23640,5
f1_racing,mistral_small,llm_only,llm_only_zero_shot,T04,How many drivers scored at least one championship point in the Australian Grand Prix 2009?,8,8,1,1.0,1.0,1.0,evaluated,0.613,23637,2
f1_racing,mistral_small,llm_only,llm_only_zero_shot,T05,What is the average number of championship points scored per driver in the Australian Grand Prix 2009? Give your answer rounded to 2 decimal places.,1.95,0.45,0,0.0,0.0,0.0,evaluated,0.594,23649,5
f1_racing,mistral_small,llm_only,llm_only_zero_shot,T06,Which driver gained the most positions from their starting grid slot to their final finishing position in the Australian Grand Prix 2009?,Jarno Trulli,Jarno Trulli,1,1.0,1.0,1.0,evaluated,0.561,23644,5
f1_racing,mistral_small,llm_only,llm_only_zero_shot,T07,Which driver lost the most positions from their starting grid slot to their final finishing position in the Australian Grand Prix 2009?,Sebastian Vettel,Sebastian Vettel,1,1.0,1.0,1.0,evaluated,0.55,23644,4
f1_racing,mistral_small,llm_only,llm_only_zero_shot,T08,Which constructor scored the most combined points across both their drivers in the Australian Grand Prix 2009?,Brawn,Brawn,1,1.0,1.0,1.0,evaluated,0.596,23639,3
f1_racing,mistral_small,llm_only,llm_only_zero_shot,T09,How many total points did Brawn score across both drivers in the Australian Grand Prix 2009?,18.0,18,0,0.0,0.0,0.0,evaluated,0.584,23639,3
f1_racing,mistral_small,llm_only,llm_only_zero_shot,T10,Which driver set the single fastest individual lap time during the Australian Grand Prix 2009?,Nico Rosberg,Nico Rosberg,1,1.0,1.0,1.0,evaluated,0.895,23637,4
f1_racing,mistral_small,llm_only,llm_only_zero_shot,T11,"Among drivers classified as 'Finished' in the Australian Grand Prix 2009, which driver had the slowest average lap time over the course of the race?",Giancarlo Fisichella,Adrian Sutil,0,0.0,0.0,0.0,evaluated,0.52,23651,5
f1_racing,mistral_small,llm_only,llm_only_zero_shot,T12,How many drivers retired (did not finish the race) in the Australian Grand Prix 2009?,4,11,0,0.0,0.0,0.0,evaluated,1.341,23639,3
f1_racing,mistral_small,llm_only,llm_only_zero_shot,T13,"After the Australian Grand Prix 2009, what is the points gap between the championship leader and the driver in second place in the Drivers' Championship?",2.0,2,0,0.0,0.0,0.0,evaluated,0.602,23649,2
f1_racing,mistral_small,llm_only,llm_only_zero_shot,T14,"After the Australian Grand Prix 2009, how many drivers have accumulated more than 5 points in the Drivers' Championship standings?",3,5,0,0.0,0.0,0.0,evaluated,0.561,23645,2
f1_racing,mistral_small,llm_only,llm_only_zero_shot,T15,Which constructor leads the Constructors' Championship after the Australian Grand Prix 2009?,Brawn,Brawn,1,1.0,1.0,1.0,evaluated,0.743,23636,3
f1_racing,mistral_small,llm_only,llm_only_zero_shot,T16,What is the total number of championship points awarded to all drivers combined in the Malaysian Grand Prix 2009?,19.5,25,0,0.0,0.0,0.0,evaluated,0.776,14831,3
f1_racing,mistral_small,llm_only,llm_only_zero_shot,T17,How many drivers are recorded with a 'Finished' status in the Malaysian Grand Prix 2009?,10,20,0,0.0,0.0,0.0,evaluated,1.481,14829,3
f1_racing,mistral_small,llm_only,llm_only_zero_shot,T18,What is the combined total number of laps completed by all drivers in the Malaysian Grand Prix 2009?,554,927,0,0.0,0.0,0.0,evaluated,0.456,14830,4
f1_racing,mistral_small,llm_only,llm_only_zero_shot,T19,How many drivers scored at least one championship point in the Malaysian Grand Prix 2009?,8,5,0,0.0,0.0,0.0,evaluated,0.772,14827,2
f1_racing,mistral_small,llm_only,llm_only_zero_shot,T20,What is the average number of championship points scored per driver in the Malaysian Grand Prix 2009? Give your answer rounded to 2 decimal places.,0.97,0.25,0,0.0,0.0,0.0,evaluated,0.492,14839,5
f1_racing,mistral_small,llm_only,llm_only_zero_shot,T21,Which driver gained the most positions from their starting grid slot to their final finishing position in the Malaysian Grand Prix 2009?,Nick Heidfeld,Nick Heidfeld,1,1.0,1.0,1.0,evaluated,0.471,14834,5
f1_racing,mistral_small,llm_only,llm_only_zero_shot,T22,Which driver lost the most positions from their starting grid slot to their final finishing position in the Malaysian Grand Prix 2009?,Robert Kubica,Robert Kubica,1,1.0,1.0,1.0,evaluated,0.461,14834,4
f1_racing,mistral_small,llm_only,llm_only_zero_shot,T23,Which constructor scored the most combined points across both their drivers in the Malaysian Grand Prix 2009?,Brawn,Brawn,1,1.0,1.0,1.0,evaluated,0.667,14829,3
f1_racing,mistral_small,llm_only,llm_only_zero_shot,T24,How many total points did Brawn score across both drivers in the Malaysian Grand Prix 2009?,7.0,25,0,0.0,0.0,0.0,evaluated,0.517,14829,3
f1_racing,mistral_small,llm_only,llm_only_zero_shot,T25,Which driver set the single fastest individual lap time during the Malaysian Grand Prix 2009?,Jenson Button,Jenson Button,1,1.0,1.0,1.0,evaluated,0.433,14827,4
f1_racing,mistral_small,llm_only,llm_only_zero_shot,T26,"Among drivers classified as 'Finished' in the Malaysian Grand Prix 2009, which driver had the slowest average lap time over the course of the race?",Sébastien Bourdais,Giancarlo Fisichella,0,0.0,0.0,0.0,evaluated,0.565,14841,8
f1_racing,mistral_small,llm_only,llm_only_zero_shot,T27,How many drivers retired (did not finish the race) in the Malaysian Grand Prix 2009?,2,6,0,0.0,0.0,0.0,evaluated,0.392,14829,2
f1_racing,mistral_small,llm_only,llm_only_zero_shot,T28,"After the Malaysian Grand Prix 2009, what is the points gap between the championship leader and the driver in second place in the Drivers' Championship?",5.0,5,0,0.0,0.0,0.0,evaluated,0.488,14839,2
f1_racing,mistral_small,llm_only,llm_only_zero_shot,T29,"After the Malaysian Grand Prix 2009, how many drivers have accumulated more than 5 points in the Drivers' Championship standings?",4,5,0,0.0,0.0,0.0,evaluated,0.802,14835,2
f1_racing,mistral_small,llm_only,llm_only_zero_shot,T30,Which constructor leads the Constructors' Championship after the Malaysian Grand Prix 2009?,Brawn,Brawn,1,1.0,1.0,1.0,evaluated,0.667,14826,3
