dataset,model,mode,prompt_style,question_id,q_type,q_level,q_category,question,ground_truth,model_response,exact_match,row_f1,precision,recall,eval_status,latency_seconds,input_tokens,output_tokens
hotpot_sql,mistral_small,llm_only,hotpot_sql_facts_zero_shot,BQ008,bridge,hard,bridge,In what year was the South Korean model and actor who starred in the 2016 Chinese romantic drama film directed by Chen Bing born?,1987,1 July 1987,0,0.5,0.333333,1.0,evaluated,0.943,6135.0,8.0
hotpot_sql,mistral_small,llm_only,hotpot_sql_facts_zero_shot,BQ017,bridge,hard,bridge,"Among the professional baseball left fielders described across these documents who were born in the 1990s and made their Major League Baseball debut in 2015, which one is the cousin of the player who debuted in 2013 and plays for the Miami Marlins?","Darrell Albert Ceciliani, Jr.",Darrell Ceciliani,0,0.666667,1.0,0.5,evaluated,0.605,6411.0,6.0
hotpot_sql,mistral_small,llm_only,hotpot_sql_facts_zero_shot,BQ018,bridge,hard,bridge,"Which American singer-songwriter, who is the son of a country music legend and active in outlaw country and Southern rock, has performed a cover of the song best known as the signature tune of the bass guitarist and vocalist for Chris Isaak's band Silvertone, a song that has also been covered by John Prine, Chris Smither, Shawn Colvin, Robert Plant, Alison Krauss, and Billy Ray Cyrus?",Shooter Jennings,Ted Russell Kamp,0,0.0,0.0,0.0,evaluated,0.813,4203.0,4.0
hotpot_sql,mistral_small,llm_only,hotpot_sql_facts_zero_shot,BQ025,bridge,hard,bridge,"What is the official language of the sovereign state that forms the largest and eastern portion of the ethno-linguistic region of Bengal and is bordered by India and Myanmar, which is also the primary language spoken in the culture of Bengal region encompassing Bangladesh and the Indian states of West Bengal, Tripura and Assam?",Bengali,Bengali language,0,0.666667,0.5,1.0,evaluated,0.457,3588.0,5.0
hotpot_sql,mistral_small,llm_only,hotpot_sql_facts_zero_shot,BQ031,comparison,hard,comparison,Which founding member of the English hard rock supergroup formed in Westminster in 1973 by former Free members and a Mott the Hoople guitarist also performed on a 1982 album by Jon Lord that featured Simon Phillips and Cozy Powell?,Boz Burrell,Simon Kirke,0,0.0,0.0,0.0,evaluated,0.573,4598.0,4.0
hotpot_sql,mistral_small,llm_only,hotpot_sql_facts_zero_shot,BQ059,comparison,hard,comparison,"Comparing the Scottish musician who wrote the second single from the album ""12 Memories"" and the American composer who scored the 1989 film ""Batman"", how many years older is the American composer?",20,18 years,0,0.0,0.0,0.0,evaluated,0.567,7619.0,4.0
hotpot_sql,mistral_small,llm_only,hotpot_sql_facts_zero_shot,BQ060,bridge,hard,bridge,"Considering the South Korean film director born on May 4, 1975, who directed a 2011 war film set during the Korean War ceasefire and a 2017 historical action drama starring Song Kang-ho, what is the difference in years between the release year of the war film and the release year of the historical action drama?",6,6 years,0,0.666667,0.5,1.0,evaluated,0.501,3650.0,3.0
hotpot_sql,mistral_small,llm_only,hotpot_sql_facts_zero_shot,BQ061,comparison,hard,comparison,"Considering the American actor who starred as the magician Oscar Diggs in the 2013 fantasy prequel directed by Sam Raimi and the Indian actor who made his debut in the 1992 romantic drama directed by Raj Kanwar, which performer was born earlier, and by how many years?",Shah Rukh Khan by 13 years,James Franco 11 years,0,0.2,0.25,0.166667,evaluated,0.771,9595.0,7.0
hotpot_sql,mistral_small,llm_only,hotpot_sql_facts_zero_shot,BQ065,bridge,hard,bridge,What is the length in miles of the tributary that begins west of the unincorporated community named for Richard Arthur and empties into the Monongahela River at Morgantown?,24.6,24.6 mi,0,0.666667,0.5,1.0,evaluated,0.914,2781.0,6.0
hotpot_sql,mistral_small,llm_only,hotpot_sql_facts_zero_shot,BQ069,comparison,hard,comparison,"Among the dog breeds explicitly identified as rare in the document discussing uncommon canine varieties, which one shares its classification as a griffon-type hunting dog with the wirehaired pointers and smousje lines recognized by the international canine federation?",Stabyhoun,Griffon Bruxellois,0,0.0,0.0,0.0,evaluated,0.467,4812.0,8.0
