dataset,model,mode,prompt_style,question_id,question,ground_truth,model_response,exact_match,row_f1,precision,recall,eval_status,latency_seconds,input_tokens,output_tokens
f1_racing,mistral_small,sql_detour,f1_racing_sql_detour_zero_shot,T01,What is the total number of championship points awarded to all drivers combined in the Australian Grand Prix 2009?,39,"```sql
SELECT SUM(points) AS total_points_awarded
FROM results
WHERE raceId = (
    SELECT raceId
    FROM races
    WHERE year = 2009 AND name = 'Australian Grand Prix'
);
```",1,1.0,1.0,1.0,evaluated,2.279,24306,51
f1_racing,mistral_small,sql_detour,f1_racing_sql_detour_zero_shot,T02,How many drivers are recorded with a 'Finished' status in the Australian Grand Prix 2009?,11,"```sql
SELECT COUNT(DISTINCT r.driverId) AS finished_drivers_count
FROM results r
JOIN races ra ON r.raceId = ra.raceId
JOIN status s ON r.statusId = s.statusId
WHERE ra.name = 'Australian Grand Prix' AND ra.year = 2009
  AND s.status = 'Finished';
```",1,1.0,1.0,1.0,evaluated,1.069,24304,79
f1_racing,mistral_small,sql_detour,f1_racing_sql_detour_zero_shot,T03,What is the combined total number of laps completed by all drivers in the Australian Grand Prix 2009?,1005,"```sql
SELECT SUM(laps) AS total_laps_completed FROM results WHERE raceId = (SELECT raceId FROM races WHERE year = 2009 AND name = 'Australian Grand Prix');
```",1,1.0,1.0,1.0,evaluated,0.852,24305,44
f1_racing,mistral_small,sql_detour,f1_racing_sql_detour_zero_shot,T04,How many drivers scored at least one championship point in the Australian Grand Prix 2009?,8,"```sql
SELECT COUNT(DISTINCT driverId) FROM results WHERE raceId = (SELECT raceId FROM races WHERE year = 2009 AND name = 'Australian Grand Prix') AND points > 0
```",1,1.0,1.0,1.0,evaluated,0.871,24302,46
f1_racing,mistral_small,sql_detour,f1_racing_sql_detour_zero_shot,T05,What is the average number of championship points scored per driver in the Australian Grand Prix 2009? Give your answer rounded to 2 decimal places.,1.95,"```sql
SELECT ROUND(AVG(points), 2) AS avg_points_per_driver
FROM results
WHERE raceId = (SELECT raceId FROM races WHERE year = 2009 AND name = 'Australian Grand Prix');
```",1,1.0,1.0,1.0,evaluated,0.852,24314,50
f1_racing,mistral_small,sql_detour,f1_racing_sql_detour_zero_shot,T06,Which driver gained the most positions from their starting grid slot to their final finishing position in the Australian Grand Prix 2009?,Jarno Trulli,"```sql
SELECT d.forename || ' ' || d.surname AS driver_name,
       r.grid AS starting_grid,
       r.positionOrder AS finishing_position,
       (r.grid - r.positionOrder) AS positions_gained
FROM results r
JOIN drivers d ON r.driverId = d.driverId
JOIN races ra ON r.raceId = ra.raceId
WHERE ra.year = 2009
  AND ra.name = 'Australian Grand Prix'
  AND r.positionOrder IS NOT NULL
ORDER BY positions_gained DESC
LIMIT 1;
```",1,1.0,1.0,1.0,evaluated,1.235,24309,122
f1_racing,mistral_small,sql_detour,f1_racing_sql_detour_zero_shot,T07,Which driver lost the most positions from their starting grid slot to their final finishing position in the Australian Grand Prix 2009?,Sebastian Vettel,"```sql
SELECT d.forename || ' ' || d.surname AS driver_name,
       q.position AS starting_grid,
       r.positionOrder AS finishing_position,
       (q.position - r.positionOrder) AS positions_lost
FROM results r
JOIN drivers d ON r.driverId = d.driverId
JOIN qualifying q ON r.driverId = q.driverId AND r.raceId = q.raceId
WHERE r.raceId = (
    SELECT raceId FROM races
    WHERE year = 2009 AND name = 'Australian Grand Prix'
)
ORDER BY positions_lost DESC
LIMIT 1;
```",0,0.0,0.0,0.0,evaluated,1.317,24309,133
f1_racing,mistral_small,sql_detour,f1_racing_sql_detour_zero_shot,T08,Which constructor scored the most combined points across both their drivers in the Australian Grand Prix 2009?,Brawn,"```sql
SELECT c.name AS constructor_name, SUM(r.points) AS total_points
FROM results r
JOIN races ra ON r.raceId = ra.raceId
JOIN constructors c ON r.constructorId = c.constructorId
WHERE ra.year = 2009 AND ra.name = 'Australian Grand Prix'
GROUP BY c.name
ORDER BY total_points DESC
LIMIT 1;
```",1,1.0,1.0,1.0,evaluated,1.348,24304,88
f1_racing,mistral_small,sql_detour,f1_racing_sql_detour_zero_shot,T09,How many total points did Brawn score across both drivers in the Australian Grand Prix 2009?,18.0,"```sql
SELECT SUM(results.points) AS total_points
FROM results
JOIN races ON results.raceId = races.raceId
JOIN constructors ON results.constructorId = constructors.constructorId
WHERE races.year = 2009
  AND races.name = 'Australian Grand Prix'
  AND constructors.name = 'Brawn';
```",1,1.0,1.0,1.0,evaluated,1.183,24304,74
f1_racing,mistral_small,sql_detour,f1_racing_sql_detour_zero_shot,T10,Which driver set the single fastest individual lap time during the Australian Grand Prix 2009?,Nico Rosberg,"```sql
SELECT d.forename || ' ' || d.surname AS driver_name
FROM lap_times lt
JOIN drivers d ON lt.driverId = d.driverId
WHERE lt.raceId = (
    SELECT raceId
    FROM races
    WHERE year = 2009 AND name = 'Australian Grand Prix'
)
ORDER BY lt.milliseconds ASC
LIMIT 1;
```",1,1.0,1.0,1.0,evaluated,0.868,24302,85
