dataset,model,mode,prompt_style,question_id,question,ground_truth,model_response,exact_match,row_f1,precision,recall,eval_status,latency_seconds,input_tokens,output_tokens
music_structured,mistral_small,llm_only,zero_shot,Q0001,Which artist has the highest popularity score and how many albums have they released?,The Ortegas 1.0 10 albums,"0.287, The Haydens",0,0.25,0.333333,0.2,evaluated,1.619,16431,10
music_structured,mistral_small,llm_only,zero_shot,Q0002,What is the average track duration in minutes across all tracks?,4.74 minutes,NA,0,0.0,0.0,0.0,evaluated,0.944,16739,2
music_structured,mistral_small,llm_only,zero_shot,Q0003,Which music genre has the most artists and how many?,Hip-Hop 42 artists,NA,0,0.0,0.0,0.0,evaluated,1.171,16427,2
music_structured,mistral_small,llm_only,zero_shot,Q0004,What percentage of artists are currently active?,84.69%,NA,0,0.0,0.0,0.0,evaluated,1.146,16424,2
music_structured,mistral_small,llm_only,zero_shot,Q0005,How many tracks have explicit content?,6 tracks,4,0,0.0,0.0,0.0,evaluated,0.817,16716,2
music_structured,mistral_small,llm_only,zero_shot,Q0006,Which record label has signed the most artists?,Gray-Mayo Entertainment 10,LBL_0006,0,0.0,0.0,0.0,evaluated,1.256,16425,8
music_structured,mistral_small,llm_only,zero_shot,Q0007,What is the average number of tracks per album for each genre?,Jazz 2.0,NA,0,0.0,0.0,0.0,evaluated,0.763,16740,2
music_structured,mistral_small,llm_only,zero_shot,Q0008,Which artists have won at least one award and how many awards have they won in total?,6 artists Ortegas=12,ART_0437 (3),0,0.0,0.0,0.0,evaluated,1.2,16434,10
music_structured,mistral_small,llm_only,zero_shot,Q0009,"What is the distribution of album types (Single, EP, Album) by record label type (Major, Independent)?",10 combinations,NA,0,0.0,0.0,0.0,evaluated,0.727,16439,2
music_structured,mistral_small,llm_only,zero_shot,Q0010,Which artists have tracks in multiple albums and how many albums do they have?,3 artists,NA,0,0.0,0.0,0.0,evaluated,0.637,16431,2
music_structured,mistral_small,llm_only,zero_shot,Q0011,What is the average speechiness score for explicit vs non-explicit tracks?,Explicit 0.103 Non 0.161,NA,0,0.0,0.0,0.0,evaluated,0.693,17311,2
music_structured,mistral_small,llm_only,zero_shot,Q0012,"Calculate the ""musical diversity score"" for each artist based on the variance of their track features (energy, danceability, valence). Which artist has the highest diversity?",David Davis 0.126,NA,0,0.0,0.0,0.0,evaluated,0.786,16450,2
music_structured,mistral_small,llm_only,zero_shot,Q0013,"Identify ""overperforming"" artists: those whose award count is disproportionately high relative to their album count and popularity score.",Ortegas 12.00 awards/album,NA,0,0.0,0.0,0.0,evaluated,0.842,16442,2
music_structured,mistral_small,llm_only,zero_shot,Q0014,"Calculate the ""genre dominance score"" for each genre based on artist count, album count, and average popularity. Which genre is most dominant?",Rock 0.9127,NA,0,0.0,0.0,0.0,evaluated,0.612,16444,2
music_structured,mistral_small,llm_only,zero_shot,Q0015,"Identify ""prolific years"" for the music industry by counting albums released per year and calculating the year-over-year growth rate.",2011 400% 2008 300% 2000 200%,NA,0,0.0,0.0,0.0,evaluated,0.828,16443,2
music_structured,mistral_small,llm_only,zero_shot,Q0016,"Identify ""hidden gem"" tracks: high audio quality features (low speechiness, high instrumentalness) from less popular artists (popularity < 0.5) that have not been heavily streamed.",NO RESULTS,NA,0,0.0,0.0,0.0,evaluated,0.776,16751,2
