dataset,model,mode,prompt_style,question_id,q_type,q_level,q_category,question,ground_truth,model_response,exact_match,row_f1,precision,recall,eval_status,latency_seconds,input_tokens,output_tokens
hotpot_sql,gemini_flash,llm_only,hotpot_sql_facts_zero_shot,BQ008,bridge,hard,bridge,In what year was the South Korean model and actor who starred in the 2016 Chinese romantic drama film directed by Chen Bing born?,1987,1 July 1987,0.0,0.5,0.333333,1.0,evaluated,0.735,6189.0,7.0
hotpot_sql,gemini_flash,llm_only,hotpot_sql_facts_zero_shot,BQ017,bridge,hard,bridge,"Among the professional baseball left fielders described across these documents who were born in the 1990s and made their Major League Baseball debut in 2015, which one is the cousin of the player who debuted in 2013 and plays for the Miami Marlins?","Darrell Albert Ceciliani, Jr.",,0.0,0.0,0.0,0.0,evaluated,0.741,6426.0,1.0
hotpot_sql,gemini_flash,llm_only,hotpot_sql_facts_zero_shot,BQ022,bridge,hard,bridge,What is the polyphony specification of the drum machine introduced by the Roland Corporation in 1983 that was the first to use samples for cymbal and hi-hat sounds alongside analog sounds and was also the first MIDI-equipped drum machine?,32-voice polyphony,Not specified,0.0,0.0,0.0,0.0,evaluated,1.021,5388.0,2.0
hotpot_sql,gemini_flash,llm_only,hotpot_sql_facts_zero_shot,BQ025,bridge,hard,bridge,"What is the official language of the sovereign state that forms the largest and eastern portion of the ethno-linguistic region of Bengal and is bordered by India and Myanmar, which is also the primary language spoken in the culture of Bengal region encompassing Bangladesh and the Indian states of West Bengal, Tripura and Assam?",Bengali,Bengali language,0.0,0.666667,0.5,1.0,evaluated,0.592,3592.0,3.0
hotpot_sql,gemini_flash,llm_only,hotpot_sql_facts_zero_shot,BQ031,comparison,hard,comparison,Which founding member of the English hard rock supergroup formed in Westminster in 1973 by former Free members and a Mott the Hoople guitarist also performed on a 1982 album by Jon Lord that featured Simon Phillips and Cozy Powell?,Boz Burrell,Simon Kirke,0.0,0.0,0.0,0.0,evaluated,0.838,4655.0,3.0
hotpot_sql,gemini_flash,llm_only,hotpot_sql_facts_zero_shot,BQ047,bridge,hard,bridge,What is the total number of games won by the coach who led the team that entered the 1991 NCAA tournament unbeaten over his entire career?,over 700,700,0.0,0.666667,1.0,0.5,evaluated,0.85,4791.0,3.0
hotpot_sql,gemini_flash,llm_only,hotpot_sql_facts_zero_shot,BQ054,comparison,hard,comparison,"The historical figure who served as Prefect of Bavaria under Charlemagne and was born into the Agilofing family — in the modern-day country corresponding to the region where he held that title, what is the cardinal direction of the area relative to the national capital?",South-Eastern,South-east,0.0,0.0,0.0,0.0,evaluated,0.954,5255.0,3.0
hotpot_sql,gemini_flash,llm_only,hotpot_sql_facts_zero_shot,BQ059,comparison,hard,comparison,"Comparing the Scottish musician who wrote the second single from the album ""12 Memories"" and the American composer who scored the 1989 film ""Batman"", how many years older is the American composer?",20,2 years,0.0,0.0,0.0,0.0,evaluated,1.076,7511.0,2.0
hotpot_sql,gemini_flash,llm_only,hotpot_sql_facts_zero_shot,BQ061,comparison,hard,comparison,"Considering the American actor who starred as the magician Oscar Diggs in the 2013 fantasy prequel directed by Sam Raimi and the Indian actor who made his debut in the 1992 romantic drama directed by Raj Kanwar, which performer was born earlier, and by how many years?",Shah Rukh Khan by 13 years,The provided facts do not contain birth dates for James Franco or Shah Rukh Khan,0.0,0.3,0.214286,0.5,evaluated,0.958,9489.0,15.0
hotpot_sql,gemini_flash,llm_only,hotpot_sql_facts_zero_shot,BQ065,bridge,hard,bridge,What is the length in miles of the tributary that begins west of the unincorporated community named for Richard Arthur and empties into the Monongahela River at Morgantown?,24.6,24.6 mi,0.0,0.666667,0.5,1.0,evaluated,0.628,2758.0,5.0
hotpot_sql,gemini_flash,llm_only,hotpot_sql_facts_zero_shot,BQ069,comparison,hard,comparison,"Among the dog breeds explicitly identified as rare in the document discussing uncommon canine varieties, which one shares its classification as a griffon-type hunting dog with the wirehaired pointers and smousje lines recognized by the international canine federation?",Stabyhoun,,0.0,0.0,0.0,0.0,evaluated,0.732,4811.0,1.0
hotpot_sql,gemini_flash,llm_only,hotpot_sql_facts_zero_shot,BQ073,comparison,hard,comparison,"Among the publications described in the provided documents that are explicitly identified as magazines, which one is published by a company headquartered in Germany, and what is the name of that publishing company?",Bauer Media Group,Heat Bauer Media Group,0.0,0.857143,0.75,1.0,evaluated,0.893,5268.0,4.0
hotpot_sql,gemini_flash,llm_only,hotpot_sql_facts_zero_shot,BQ083,comparison,hard,comparison,The city that hosts the temple which was the first in its state and featured a pioneering single-spire design is also served by an airport that was once called Fanning Field and ranks as the second-busiest in its state. What is the IATA code of that airport?,IDA,KIDA,0.0,0.0,0.0,0.0,evaluated,0.601,4801.0,2.0
hotpot_sql,gemini_flash,llm_only,hotpot_sql_facts_zero_shot,BQ093,bridge,hard,bridge,"Which football club, founded in 1912 and a founder member of the Football League's Third Division in 1920, won the 93rd season of the main domestic football cup competition in Wales by winning both legs of the final against Shrewsbury Town?",Newport County Association Football Club,Newport County,0.0,0.571429,1.0,0.4,evaluated,0.697,6503.0,3.0
hotpot_sql,gemini_flash,llm_only,hotpot_sql_facts_zero_shot,BQ095,comparison,hard,comparison,"Which composer, born in the late 18th century and associated with the bel canto opera style, wrote the opera that premiered at the Teatro Valle in Rome on 4 February 1824 and was later renamed Don Gregorio for its Naples production?",Domenico Gaetano Maria Donizetti,Gaetano Donizetti,0.0,0.666667,1.0,0.5,evaluated,0.807,6472.0,5.0
hotpot_sql,gemini_flash,llm_only,hotpot_sql_facts_zero_shot,CQ004,bridge,hard,formal_full_name,What is the full name of the captain of the Australian team that won the 1930 Ashes series?,"William Maldon ""Bill"" Woodfull",Bill Woodfull,0.0,0.666667,1.0,0.5,evaluated,1.161,8737.0,3.0
hotpot_sql,gemini_flash,llm_only,hotpot_sql_facts_zero_shot,HQ003,comparison,extremely_hard,comparison,0,0.0,0.0,0.0,evaluated,0.607,142.0,2,,,
hotpot_sql,gemini_flash,llm_only,hotpot_sql_facts_zero_shot,HQ005,bridge,extremely_hard,bridge,0,0.0,0.0,0.0,evaluated,0.483,114.0,4,,,
hotpot_sql,gemini_flash,llm_only,hotpot_sql_facts_zero_shot,HQ008,bridge,extremely_hard,arithmetic_chain,0,0.0,0.0,0.0,evaluated,0.611,122.0,2,,,
hotpot_sql,gemini_flash,llm_only,hotpot_sql_facts_zero_shot,HQ010,comparison,extremely_hard,cardinal_direction,0,0.0,0.0,0.0,evaluated,0.648,111.0,1,,,
hotpot_sql,gemini_flash,llm_only,hotpot_sql_facts_zero_shot,HQ012,bridge,extremely_hard,bridge,0,0.0,0.0,0.0,evaluated,0.575,111.0,4,,,
hotpot_sql,gemini_flash,llm_only,hotpot_sql_facts_zero_shot,HQ014,bridge,extremely_hard,bridge,0,0.0,0.0,0.0,evaluated,1.033,121.0,3,,,
