neutral_id,original_row,model,question_id
R001,0,gemini_flash,F1
R002,1,gemini_flash,F2
R003,2,gemini_flash,F3
R004,3,gemini_flash,F4
R005,4,gemini_flash,F5
R006,5,gemini_flash,F6
R007,6,gemini_flash,F7
R008,7,gemini_flash,F8
R009,8,gemini_flash,F9
R010,9,gemini_flash,F10
R011,10,gemini_flash,F11
R012,11,gemini_flash,F12
R013,12,gemini_flash,F13
R014,13,gemini_flash,F14
R015,14,gemini_flash,F15
R016,15,gemini_flash,F16
R017,16,gemini_flash,F17
R018,17,gemini_flash,F18
R019,18,gemini_flash,F19
R020,19,gemini_flash,F20
R021,20,gemini_flash,F21
R022,21,gemini_flash,F22
R023,22,gemini_flash,F23
R024,23,gemini_flash,F24
R025,24,gemini_flash,F25
R026,25,gemini_flash,F26
R027,26,gemini_flash,F27
R028,27,gemini_flash,F28
R029,28,gemini_flash,F29
R030,29,gemini_flash,F30
R031,30,gemini_flash,F31
R032,31,gemini_flash,F32
R033,32,gemini_flash,F33
R034,33,gemini_flash,F34
R035,34,gemini_flash,F35
R036,35,gemini_flash,F36
R037,36,gemini_flash,F37
R038,37,gemini_flash,F38
R039,38,gemini_flash,F39
R040,39,gemini_flash,F40
R041,40,gemini_flash,F41
R042,41,gemini_flash,F42
R043,42,gemini_flash,F43
R044,43,gemini_flash,F44
R045,44,gemini_flash,F45
R046,45,mistral_small,F1
R047,46,mistral_small,F2
R048,47,mistral_small,F3
R049,48,mistral_small,F4
R050,49,mistral_small,F5
R051,50,mistral_small,F6
R052,51,mistral_small,F7
R053,52,mistral_small,F8
R054,53,mistral_small,F9
R055,54,mistral_small,F10
R056,55,mistral_small,F11
R057,56,mistral_small,F12
R058,57,mistral_small,F13
R059,58,mistral_small,F14
R060,59,mistral_small,F15
R061,60,mistral_small,F16
R062,61,mistral_small,F17
R063,62,mistral_small,F18
R064,63,mistral_small,F19
R065,64,mistral_small,F20
R066,65,mistral_small,F21
R067,66,mistral_small,F22
R068,67,mistral_small,F23
R069,68,mistral_small,F24
R070,69,mistral_small,F25
R071,70,mistral_small,F26
R072,71,mistral_small,F27
R073,72,mistral_small,F28
R074,73,mistral_small,F29
R075,74,mistral_small,F30
R076,75,mistral_small,F31
R077,76,mistral_small,F32
R078,77,mistral_small,F33
R079,78,mistral_small,F34
R080,79,mistral_small,F35
R081,80,mistral_small,F36
R082,81,mistral_small,F37
R083,82,mistral_small,F38
R084,83,mistral_small,F39
R085,84,mistral_small,F40
R086,85,mistral_small,F41
R087,86,mistral_small,F42
R088,87,mistral_small,F43
R089,88,mistral_small,F44
R090,89,mistral_small,F45
