dataset,model,mode,prompt_style,question_id,question,ground_truth,model_response,exact_match,row_f1,precision,recall,eval_status,latency_seconds,input_tokens,output_tokens
f1_racing,gemini_flash,llm_only,llm_only_zero_shot,T01,What is the total number of championship points awarded to all drivers combined in the Australian Grand Prix 2009?,39,39,1,1.0,1.0,1.0,evaluated,1.622,23654,2
f1_racing,gemini_flash,llm_only,llm_only_zero_shot,T02,How many drivers are recorded with a 'Finished' status in the Australian Grand Prix 2009?,11,19,0,0.0,0.0,0.0,evaluated,0.847,23652,2
f1_racing,gemini_flash,llm_only,llm_only_zero_shot,T03,What is the combined total number of laps completed by all drivers in the Australian Grand Prix 2009?,1005,1056,0,0.0,0.0,0.0,evaluated,0.998,23653,4
f1_racing,gemini_flash,llm_only,llm_only_zero_shot,T04,How many drivers scored at least one championship point in the Australian Grand Prix 2009?,8,8,1,1.0,1.0,1.0,evaluated,0.718,23650,1
f1_racing,gemini_flash,llm_only,llm_only_zero_shot,T05,What is the average number of championship points scored per driver in the Australian Grand Prix 2009? Give your answer rounded to 2 decimal places.,1.95,2.27,0,0.0,0.0,0.0,evaluated,0.907,23662,4
f1_racing,gemini_flash,llm_only,llm_only_zero_shot,T06,Which driver gained the most positions from their starting grid slot to their final finishing position in the Australian Grand Prix 2009?,Jarno Trulli,Jarno Trulli,1,1.0,1.0,1.0,evaluated,0.945,23657,4
f1_racing,gemini_flash,llm_only,llm_only_zero_shot,T07,Which driver lost the most positions from their starting grid slot to their final finishing position in the Australian Grand Prix 2009?,Sebastian Vettel,Sebastian Vettel,1,1.0,1.0,1.0,evaluated,0.975,23657,2
f1_racing,gemini_flash,llm_only,llm_only_zero_shot,T08,Which constructor scored the most combined points across both their drivers in the Australian Grand Prix 2009?,Brawn,Brawn,1,1.0,1.0,1.0,evaluated,1.173,23652,2
f1_racing,gemini_flash,llm_only,llm_only_zero_shot,T09,How many total points did Brawn score across both drivers in the Australian Grand Prix 2009?,18.0,18,0,0.0,0.0,0.0,evaluated,0.773,23652,2
f1_racing,gemini_flash,llm_only,llm_only_zero_shot,T10,Which driver set the single fastest individual lap time during the Australian Grand Prix 2009?,Nico Rosberg,1:24.783,0,0.0,0.0,0.0,evaluated,1.253,23650,8
f1_racing,gemini_flash,llm_only,llm_only_zero_shot,T11,"Among drivers classified as 'Finished' in the Australian Grand Prix 2009, which driver had the slowest average lap time over the course of the race?",Giancarlo Fisichella,Sébastien Bourdais,0,0.0,0.0,0.0,evaluated,2.507,23663,6
f1_racing,gemini_flash,llm_only,llm_only_zero_shot,T12,How many drivers retired (did not finish the race) in the Australian Grand Prix 2009?,4,8,0,0.0,0.0,0.0,evaluated,0.946,23652,1
f1_racing,gemini_flash,llm_only,llm_only_zero_shot,T13,"After the Australian Grand Prix 2009, what is the points gap between the championship leader and the driver in second place in the Drivers' Championship?",2.0,2,0,0.0,0.0,0.0,evaluated,1.149,23662,1
f1_racing,gemini_flash,llm_only,llm_only_zero_shot,T14,"After the Australian Grand Prix 2009, how many drivers have accumulated more than 5 points in the Drivers' Championship standings?",3,3,1,1.0,1.0,1.0,evaluated,0.748,23658,1
f1_racing,gemini_flash,llm_only,llm_only_zero_shot,T15,Which constructor leads the Constructors' Championship after the Australian Grand Prix 2009?,Brawn,Brawn,1,1.0,1.0,1.0,evaluated,1.338,23648,2
f1_racing,gemini_flash,llm_only,llm_only_zero_shot,T16,What is the total number of championship points awarded to all drivers combined in the Malaysian Grand Prix 2009?,19.5,15,0,0.0,0.0,0.0,evaluated,0.785,14825,2
f1_racing,gemini_flash,llm_only,llm_only_zero_shot,T17,How many drivers are recorded with a 'Finished' status in the Malaysian Grand Prix 2009?,10,14,0,0.0,0.0,0.0,evaluated,0.805,14823,2
f1_racing,gemini_flash,llm_only,llm_only_zero_shot,T18,What is the combined total number of laps completed by all drivers in the Malaysian Grand Prix 2009?,554,605,0,0.0,0.0,0.0,evaluated,0.814,14824,3
f1_racing,gemini_flash,llm_only,llm_only_zero_shot,T19,How many drivers scored at least one championship point in the Malaysian Grand Prix 2009?,8,7,0,0.0,0.0,0.0,evaluated,0.658,14821,1
f1_racing,gemini_flash,llm_only,llm_only_zero_shot,T20,What is the average number of championship points scored per driver in the Malaysian Grand Prix 2009? Give your answer rounded to 2 decimal places.,0.97,0.95,0,0.0,0.0,0.0,evaluated,0.861,14833,4
f1_racing,gemini_flash,llm_only,llm_only_zero_shot,T21,Which driver gained the most positions from their starting grid slot to their final finishing position in the Malaysian Grand Prix 2009?,Nick Heidfeld,Nick Heidfeld,1,1.0,1.0,1.0,evaluated,0.772,14828,3
f1_racing,gemini_flash,llm_only,llm_only_zero_shot,T22,Which driver lost the most positions from their starting grid slot to their final finishing position in the Malaysian Grand Prix 2009?,Robert Kubica,Robert Kubica,1,1.0,1.0,1.0,evaluated,0.786,14828,3
f1_racing,gemini_flash,llm_only,llm_only_zero_shot,T23,Which constructor scored the most combined points across both their drivers in the Malaysian Grand Prix 2009?,Brawn,Brawn,1,1.0,1.0,1.0,evaluated,1.04,14823,2
f1_racing,gemini_flash,llm_only,llm_only_zero_shot,T24,How many total points did Brawn score across both drivers in the Malaysian Grand Prix 2009?,7.0,7,0,0.0,0.0,0.0,evaluated,0.886,14823,1
f1_racing,gemini_flash,llm_only,llm_only_zero_shot,T25,Which driver set the single fastest individual lap time during the Malaysian Grand Prix 2009?,Jenson Button,Nico Rosberg,0,0.0,0.0,0.0,evaluated,1.02,14821,3
f1_racing,gemini_flash,llm_only,llm_only_zero_shot,T26,"Among drivers classified as 'Finished' in the Malaysian Grand Prix 2009, which driver had the slowest average lap time over the course of the race?",Sébastien Bourdais,Fernando Alonso,0,0.0,0.0,0.0,evaluated,0.87,14834,2
f1_racing,gemini_flash,llm_only,llm_only_zero_shot,T27,How many drivers retired (did not finish the race) in the Malaysian Grand Prix 2009?,2,5,0,0.0,0.0,0.0,evaluated,0.844,14823,1
f1_racing,gemini_flash,llm_only,llm_only_zero_shot,T28,"After the Malaysian Grand Prix 2009, what is the points gap between the championship leader and the driver in second place in the Drivers' Championship?",5.0,5,0,0.0,0.0,0.0,evaluated,0.548,14833,1
f1_racing,gemini_flash,llm_only,llm_only_zero_shot,T29,"After the Malaysian Grand Prix 2009, how many drivers have accumulated more than 5 points in the Drivers' Championship standings?",4,4,1,1.0,1.0,1.0,evaluated,0.675,14829,1
f1_racing,gemini_flash,llm_only,llm_only_zero_shot,T30,Which constructor leads the Constructors' Championship after the Malaysian Grand Prix 2009?,Brawn,Brawn,1,1.0,1.0,1.0,evaluated,0.683,14819,2
