dataset,model,mode,prompt_style,question_id,question,ground_truth,model_response,exact_match,row_f1,precision,recall,eval_status,latency_seconds,input_tokens,output_tokens
finhybrid,gemini_flash,llm_only,zero_shot,Q0001,"during the 2012 year , did the equity awards in which the prescribed performance milestones were achieved exceed the equity award compensation expense for equity granted during the year?",yes,Yes,1,1.0,1.0,1.0,evaluated,1.46,7484,1
finhybrid,gemini_flash,llm_only,zero_shot,Q0002,"for equity awards where the performance criteria has been met in 2012 , what is the average compensation expense per year over which the cost will be expensed?",1719526,$1.714 million,0,0.0,0.0,0.0,evaluated,0.868,8606,7
finhybrid,gemini_flash,llm_only,zero_shot,Q0003,did abiomed outperform the nasdaq medical equipment index?,yes,Yes,1,1.0,1.0,1.0,evaluated,1.521,8275,1
finhybrid,gemini_flash,llm_only,zero_shot,Q0004,did abiomed outperform the nasdaq composite index?,yes,Yes,1,1.0,1.0,1.0,evaluated,0.799,9041,1
finhybrid,gemini_flash,llm_only,zero_shot,Q0005,how much of total future minimum lease payments are due currently?,35%,"$1,473,000",0,0.0,0.0,0.0,evaluated,0.812,7796,10
finhybrid,gemini_flash,llm_only,zero_shot,Q0006,what is the roi of an investment in abiomed inc from march 2007 to march 2010?,-24.5%,-24.45%,0,0.0,0.0,0.0,evaluated,0.804,10025,7
finhybrid,gemini_flash,llm_only,zero_shot,Q0007,what is the roi of an investment in nasdaq composite index from march 2007 to march 2010?,-1.0%,-0.98%,0,0.0,0.0,0.0,evaluated,0.669,10354,6
finhybrid,gemini_flash,llm_only,zero_shot,Q0008,what is the the interest expense in 2009?,380,"$2,502",0,0.0,0.0,0.0,evaluated,0.953,7249,6
finhybrid,gemini_flash,llm_only,zero_shot,Q0009,what is the expected growth rate in amortization expense in 2010?,-27.0%,NA,0,0.0,0.0,0.0,evaluated,0.902,6817,1
finhybrid,gemini_flash,llm_only,zero_shot,Q0010,what is the percentage increase in interest expanse and penalties in 2009?,30.8%,NA,0,0.0,0.0,0.0,evaluated,0.633,7216,1
finhybrid,gemini_flash,llm_only,zero_shot,Q0011,"what is the lobor rate as of october 31 , 2009?",29.0%,2.34%,0,0.0,0.0,0.0,evaluated,1.003,7595,5
finhybrid,gemini_flash,llm_only,zero_shot,Q0012,what percentage did the balance increase from 2007 to 2009?,83.6%,83.65%,0,0.0,0.0,0.0,evaluated,0.581,7512,6
finhybrid,gemini_flash,llm_only,zero_shot,Q0013,what would be the balance if the company suffered the potential total tax liability of the 2006 and 2007 irs examination?,$ 17966 million,$195 million,0,0.0,0.0,0.0,evaluated,0.782,6904,5
finhybrid,gemini_flash,llm_only,zero_shot,Q0014,"in millions , for 2016 , 2015 , and 2014 what was the total amount of common share repurchases?",90.1,NA,0,0.0,0.0,0.0,evaluated,2.955,9377,1
finhybrid,gemini_flash,llm_only,zero_shot,Q0015,of the total aus net inflows/ ( outflows ) for 2014 were fixed income asset inflows in connection with our acquisition of deutsche asset & wealth management 2019s stable value business greater than the liquidity products inflows in connection with our acquisition of rbs asset management 2019s money market funds?,yes,Yes,1,1.0,1.0,1.0,evaluated,0.84,9489,1
finhybrid,gemini_flash,llm_only,zero_shot,Q0016,"in billions , for 2016 , 2015 , and 2014 , what are total alternative investments?",439,2016: $149 billion; 2015: $145 billion; 2014: $145 billion,0,0.0,0.0,0.0,evaluated,0.823,8608,34
finhybrid,gemini_flash,llm_only,zero_shot,Q0017,what was the difference in millions between the total cost of common shares repurchases from 2015 to 2016?,1874,$1.87 billion,0,0.0,0.0,0.0,evaluated,1.406,9159,6
finhybrid,gemini_flash,llm_only,zero_shot,Q0018,what were total investment commitments in billions for 2016 and 2015 related to commitments to invest in funds managed by the firm?,4.96,$8.44 billion and $6.05 billion,0,0.0,0.0,0.0,evaluated,0.728,8332,13
finhybrid,gemini_flash,llm_only,zero_shot,Q0019,what was the difference in millions between the total cost of common shares repurchases from 2015 to 2016?,-1274,$1.87 billion,0,0.0,0.0,0.0,evaluated,1.563,9159,6
finhybrid,gemini_flash,llm_only,zero_shot,Q0020,"what was total shareholders 2019 equity common equity dividends declared per common share in 2016 , 2015 and 2014?",7.40,NA,0,0.0,0.0,0.0,evaluated,0.738,10330,1
finhybrid,gemini_flash,llm_only,zero_shot,Q0021,what is the debt-to-total asset ratio in 2015?,2.7%,NA,0,0.0,0.0,0.0,evaluated,0.585,10388,1
finhybrid,gemini_flash,llm_only,zero_shot,Q0022,"for december 2016 and december 2015 , what was total fair value of loans receivable in billions?",94.99,December 2016: $49.80 billion; December 2015: $45.19 billion,0,0.0,0.0,0.0,evaluated,0.802,9205,29
finhybrid,gemini_flash,llm_only,zero_shot,Q0023,"what was total rent charged to operating expense in millions for 2016 , 2015 and 2014?",802,"2016: $244 million, 2015: $249 million, 2014: $309 million",0,0.0,0.0,0.0,evaluated,1.482,8515,34
finhybrid,gemini_flash,llm_only,zero_shot,Q0024,what is the debt-to-total asset ratio in 2016?,2.5%,NA,0,0.0,0.0,0.0,evaluated,1.194,9453,1
finhybrid,gemini_flash,llm_only,zero_shot,Q0025,what is the net change in the number of staff in 2016?,-2400,"-2,400",1,1.0,1.0,1.0,evaluated,1.128,9923,6
finhybrid,gemini_flash,llm_only,zero_shot,Q0026,what is the net change in the number of staff in 2015?,2800,"2,800",1,1.0,1.0,1.0,evaluated,0.687,9423,5
finhybrid,gemini_flash,llm_only,zero_shot,Q0027,"in millions for 2016 2015 , and 2014 , what are total equity securities?",10933,NA,0,0.0,0.0,0.0,evaluated,0.524,10267,1
finhybrid,gemini_flash,llm_only,zero_shot,Q0028,operating expenses were what multiple of pre-tax earnings in 2015?,11.52,2.85,0,0.0,0.0,0.0,evaluated,0.775,8468,4
finhybrid,gemini_flash,llm_only,zero_shot,Q0029,what was the percentage change in the 5 year annual performance of the peer group stock from 2010 to 2011,8.3%,36.78%,0,0.0,0.0,0.0,evaluated,0.815,10686,6
