dataset,model,mode,prompt_style,question_id,question,ground_truth,model_response,exact_match,row_f1,precision,recall,eval_status,latency_seconds,input_tokens,output_tokens
f1_racing,gemini_flash,sql_detour,f1_racing_sql_detour_zero_shot,T01,What is the total number of championship points awarded to all drivers combined in the Australian Grand Prix 2009?,39,"```sql
SELECT SUM(T1.points) FROM results AS T1 JOIN races AS T2 ON T1.raceId = T2.raceId WHERE T2.year = 2009 AND T2.name = 'Australian Grand Prix';
```",1,1.0,1.0,1.0,evaluated,2.139,24362,57
f1_racing,gemini_flash,sql_detour,f1_racing_sql_detour_zero_shot,T02,How many drivers are recorded with a 'Finished' status in the Australian Grand Prix 2009?,11,"```sql
SELECT count(*)
FROM results
JOIN races ON results.raceId = races.raceId
JOIN status ON results.statusId = status.statusId
WHERE races.year = 2009 AND races.name = 'Australian Grand Prix' AND status.status = 'Finished';
```",1,1.0,1.0,1.0,evaluated,1.294,24360,66
f1_racing,gemini_flash,sql_detour,f1_racing_sql_detour_zero_shot,T03,What is the combined total number of laps completed by all drivers in the Australian Grand Prix 2009?,1005,"```sql
SELECT SUM(T1.laps) 
FROM results AS T1 
JOIN races AS T2 ON T1.raceId = T2.raceId 
WHERE T2.year = 2009 AND T2.name = 'Australian Grand Prix';
```",1,1.0,1.0,1.0,evaluated,1.173,24361,64
f1_racing,gemini_flash,sql_detour,f1_racing_sql_detour_zero_shot,T04,How many drivers scored at least one championship point in the Australian Grand Prix 2009?,8,"```sql
SELECT
  COUNT(T1.driverId)
FROM results AS T1
JOIN races AS T2
  ON T1.raceId = T2.raceId
WHERE
  T2.year = 2009 AND T2.name = 'Australian Grand Prix' AND T1.points >= 1;
```",1,1.0,1.0,1.0,evaluated,1.41,24358,76
f1_racing,gemini_flash,sql_detour,f1_racing_sql_detour_zero_shot,T05,What is the average number of championship points scored per driver in the Australian Grand Prix 2009? Give your answer rounded to 2 decimal places.,1.95,"```sql
SELECT ROUND(AVG(points), 2)
FROM results
JOIN races ON results.raceId = races.raceId
WHERE races.year = 2009 AND races.name = 'Australian Grand Prix';
```",1,1.0,1.0,1.0,evaluated,1.026,24370,52
f1_racing,gemini_flash,sql_detour,f1_racing_sql_detour_zero_shot,T06,Which driver gained the most positions from their starting grid slot to their final finishing position in the Australian Grand Prix 2009?,Jarno Trulli,"```sql
SELECT
  d.forename || ' ' || d.surname
FROM results r
JOIN races ra ON r.raceId = ra.raceId
JOIN drivers d ON r.driverId = d.driverId
WHERE ra.year = 2009 AND ra.name = 'Australian Grand Prix'
ORDER BY (r.grid - r.positionOrder) DESC
LIMIT 1;
```",1,1.0,1.0,1.0,evaluated,1.437,24365,91
f1_racing,gemini_flash,sql_detour,f1_racing_sql_detour_zero_shot,T07,Which driver lost the most positions from their starting grid slot to their final finishing position in the Australian Grand Prix 2009?,Sebastian Vettel,"```sql
SELECT
  d.forename || ' ' || d.surname
FROM results r
JOIN races ra ON r.raceId = ra.raceId
JOIN drivers d ON r.driverId = d.driverId
WHERE ra.year = 2009 AND ra.name = 'Australian Grand Prix'
ORDER BY (r.positionOrder - r.grid) DESC
LIMIT 1;
```",0,0.0,0.0,0.0,evaluated,1.234,24365,91
f1_racing,gemini_flash,sql_detour,f1_racing_sql_detour_zero_shot,T08,Which constructor scored the most combined points across both their drivers in the Australian Grand Prix 2009?,Brawn,"```sql
SELECT
  c.name
FROM constructors c
JOIN results r ON c.constructorId = r.constructorId
JOIN races ra ON r.raceId = ra.raceId
WHERE ra.year = 2009 AND ra.name = 'Australian Grand Prix'
GROUP BY c.constructorId
ORDER BY SUM(r.points) DESC
LIMIT 1;
```",1,1.0,1.0,1.0,evaluated,1.285,24360,86
f1_racing,gemini_flash,sql_detour,f1_racing_sql_detour_zero_shot,T09,How many total points did Brawn score across both drivers in the Australian Grand Prix 2009?,18.0,"```sql
SELECT SUM(T1.points) 
FROM results AS T1 
JOIN races AS T2 ON T1.raceId = T2.raceId 
JOIN constructors AS T3 ON T1.constructorId = T3.constructorId 
WHERE T2.year = 2009 AND T2.name = 'Australian Grand Prix' AND T3.name = 'Brawn';
```",1,1.0,1.0,1.0,evaluated,1.068,24360,92
f1_racing,gemini_flash,sql_detour,f1_racing_sql_detour_zero_shot,T10,Which driver set the single fastest individual lap time during the Australian Grand Prix 2009?,Nico Rosberg,"```sql
SELECT
  T1.forename || ' ' || T1.surname
FROM drivers AS T1
JOIN lap_times AS T2
  ON T1.driverId = T2.driverId
JOIN races AS T3
  ON T2.raceId = T3.raceId
WHERE
  T3.year = 2009 AND T3.name = 'Australian Grand Prix'
ORDER BY
  T2.milliseconds ASC
LIMIT 1;
```",1,1.0,1.0,1.0,evaluated,1.173,24358,109
f1_racing,gemini_flash,sql_detour,f1_racing_sql_detour_zero_shot,T11,"Among drivers classified as 'Finished' in the Australian Grand Prix 2009, which driver had the slowest average lap time over the course of the race?",Giancarlo Fisichella,"```sql
SELECT
  d.forename || ' ' || d.surname
FROM results r
JOIN races ra ON r.raceId = ra.raceId
JOIN drivers d ON r.driverId = d.driverId
JOIN status s ON r.statusId = s.statusId
WHERE ra.year = 2009 AND ra.name = 'Australian Grand Prix' AND s.status = 'Finished'
ORDER BY (r.milliseconds / r.laps) DESC
LIMIT 1;
```",1,1.0,1.0,1.0,evaluated,1.21,24371,113
f1_racing,gemini_flash,sql_detour,f1_racing_sql_detour_zero_shot,T12,How many drivers retired (did not finish the race) in the Australian Grand Prix 2009?,4,"```sql
SELECT
  COUNT(*)
FROM results
JOIN races
  ON results.raceId = races.raceId
JOIN status
  ON results.statusId = status.statusId
WHERE
  races.year = 2009 AND races.name = 'Australian Grand Prix' AND status.status != 'Finished' AND status.status NOT LIKE '+%';
```",0,0.0,0.0,0.0,evaluated,1.356,24360,83
f1_racing,gemini_flash,sql_detour,f1_racing_sql_detour_zero_shot,T13,"After the Australian Grand Prix 2009, what is the points gap between the championship leader and the driver in second place in the Drivers' Championship?",2.0,"```sql
SELECT (
    SELECT points FROM driver_standings 
    JOIN races ON driver_standings.raceId = races.raceId 
    WHERE races.year = 2009 AND races.name = 'Australian Grand Prix' AND driver_standings.position = 1
) - (
    SELECT points FROM driver_standings 
    JOIN races ON driver_standings.raceId = races.raceId 
    WHERE races.year = 2009 AND races.name = 'Australian Grand Prix' AND driver_standings.position = 2
);
```",1,1.0,1.0,1.0,evaluated,1.396,24370,133
f1_racing,gemini_flash,sql_detour,f1_racing_sql_detour_zero_shot,T14,"After the Australian Grand Prix 2009, how many drivers have accumulated more than 5 points in the Drivers' Championship standings?",3,"```sql
SELECT
  count(*)
FROM driver_standings
JOIN races ON driver_standings.raceId = races.raceId
WHERE races.year = 2009 AND races.round = 1 AND driver_standings.points > 5;
```",1,1.0,1.0,1.0,evaluated,1.277,24366,61
