dataset,model,mode,prompt_style,question_id,q_type,q_level,q_category,question,ground_truth,model_response,exact_match,row_f1,precision,recall,eval_status,latency_seconds,input_tokens,output_tokens
hotpot,nemotron,llm_only,hotpot_llm_only_zero_shot,BQ005,bridge,hard,bridge,"In what year did the American multinational food manufacturing company headquartered in Battle Creek, Michigan, which produces a cocoa flavored version of Rice Krispies, begin sponsoring the television series based on comic book characters created by Jerry Siegel and Joe Shuster that began filming in 1951?",1952,,0,0.0,0.0,0.0,evaluated,46.624,,
hotpot,nemotron,llm_only,hotpot_llm_only_zero_shot,BQ006,bridge,hard,bridge,"In what year did the individual who served as the private secretary to the leader of Nazi Germany and controlled access to him join that leader in the underground shelter complex located beneath the Reich Chancellery garden, which was expanded in 1943 with the addition of a lower level?",1945,,0,0.0,0.0,0.0,evaluated,47.046,,
hotpot,nemotron,llm_only,hotpot_llm_only_zero_shot,BQ008,bridge,hard,bridge,In what year was the South Korean model and actor who starred in the 2016 Chinese romantic drama film directed by Chen Bing born?,1987,,0,0.0,0.0,0.0,evaluated,42.696,,
hotpot,nemotron,llm_only,hotpot_llm_only_zero_shot,BQ012,bridge,hard,bridge,"The American sleep researcher and neurologist born on December 27, 1972, who coined the term circadian advantage after studying travel effects on Major League Baseball teams and linked player sleepiness to reduced career longevity in 2013 — what specific research area did this individual investigate regarding Atlantic Coast Conference football players and their eventual draft success?",sleepiness as a predictor of NFL Draft value,,0,0.0,0.0,0.0,evaluated,50.623,,
hotpot,nemotron,llm_only,hotpot_llm_only_zero_shot,BQ015,bridge,hard,bridge,Which Dutch tenor performed the role of Sellem in the opera whose libretto was written by W. H. Auden and Chester Kallman and which is based on a series of eight paintings by William Hogarth?,Nico van der Meel,,0,0.0,0.0,0.0,evaluated,54.92,,
hotpot,nemotron,llm_only,hotpot_llm_only_zero_shot,BQ017,bridge,hard,bridge,"Among the professional baseball left fielders described across these documents who were born in the 1990s and made their Major League Baseball debut in 2015, which one is the cousin of the player who debuted in 2013 and plays for the Miami Marlins?","Darrell Albert Ceciliani, Jr.",,0,0.0,0.0,0.0,evaluated,258.104,1144.0,7811.0
hotpot,nemotron,llm_only,hotpot_llm_only_zero_shot,BQ020,bridge,hard,bridge,"Which United States Navy officer, born in the first decade of the 1900s and decorated with the Medal of Honor for actions during the capture of a German Type IXC U-boat off French West Africa in June 1944, was part of the boarding party that seized the vessel which became the first enemy ship captured by the U.S. Navy since the nineteenth century?",Albert Leroy David,Albert David,0,0.8,1.0,0.666667,evaluated,100.495,1653.0,293.0
hotpot,nemotron,llm_only,hotpot_llm_only_zero_shot,BQ022,bridge,hard,bridge,What is the polyphony specification of the drum machine introduced by the Roland Corporation in 1983 that was the first to use samples for cymbal and hi-hat sounds alongside analog sounds and was also the first MIDI-equipped drum machine?,32-voice polyphony,Not specified in documents,0,0.0,0.0,0.0,evaluated,104.485,1521.0,874.0
hotpot,nemotron,llm_only,hotpot_llm_only_zero_shot,BQ023,bridge,hard,bridge,"Which newspaper, founded as a weekly publication in 1873 and later renamed multiple times before adopting its current name, publishes a local weekly newspaper named after a town largely serving the Fylde Borough?",Blackpool Gazette,,0,0.0,0.0,0.0,evaluated,62.145,,
hotpot,nemotron,llm_only,hotpot_llm_only_zero_shot,BQ024,bridge,hard,bridge,What is the title of the popular song from the 1953 musical Kismet whose melody was based on the most important large-scale work completed by the Russian composer who also wrote a string quartet dedicated to his wife Ekaterina Protopova?,Fate,,0,0.0,0.0,0.0,evaluated,54.347,,
hotpot,nemotron,llm_only,hotpot_llm_only_zero_shot,BQ025,bridge,hard,bridge,"What is the official language of the sovereign state that forms the largest and eastern portion of the ethno-linguistic region of Bengal and is bordered by India and Myanmar, which is also the primary language spoken in the culture of Bengal region encompassing Bangladesh and the Indian states of West Bengal, Tripura and Assam?",Bengali,,0,0.0,0.0,0.0,evaluated,53.354,,
hotpot,nemotron,llm_only,hotpot_llm_only_zero_shot,BQ027,bridge,hard,bridge,What is the name of the museum that is a branch of the institution preserving Hong Kong's historical and cultural heritage and is located in a former Hakka village house built during the Qing Dynasty in Chai Wan?,Law Uk Folk Museum,,0,0.0,0.0,0.0,evaluated,45.877,,
hotpot,nemotron,llm_only,hotpot_llm_only_zero_shot,BQ031,comparison,hard,comparison,Which founding member of the English hard rock supergroup formed in Westminster in 1973 by former Free members and a Mott the Hoople guitarist also performed on a 1982 album by Jon Lord that featured Simon Phillips and Cozy Powell?,Boz Burrell,Simon Kirke,0,0.0,0.0,0.0,evaluated,73.313,1483.0,1977.0
hotpot,nemotron,llm_only,hotpot_llm_only_zero_shot,BQ032,bridge,hard,bridge,The Norman baron who served as principal captain to the English king known as Richard Cœur de Lion constructed a castle in Rutland between 1180 and 1190; what is the name of that castle?,Oakham Castle,,0,0.0,0.0,0.0,evaluated,26.662,,
hotpot,nemotron,llm_only,hotpot_llm_only_zero_shot,BQ035,bridge,hard,bridge,"The actor who portrayed the antagonist in the final installment of the original Superman film series, a role he reprised from the 1978 original, won his first Academy Award for Best Actor for which film?",The French Connection,,0,0.0,0.0,0.0,evaluated,27.683,,
hotpot,nemotron,llm_only,hotpot_llm_only_zero_shot,BQ037,bridge,hard,bridge,The British comedy panel game first broadcast on Sky1 in 2011 is hosted by an English comedian and actor born on 20 August 1971 who is known for his partnership with Matt Lucas on the BBC One sketch show Little Britain. What is the professional name of this host?,David Walliams,,0,0.0,0.0,0.0,evaluated,27.047,,
hotpot,nemotron,llm_only,hotpot_llm_only_zero_shot,BQ044,bridge,hard,bridge,What is the Guinness World Record number of vocal edits in the track 'Somnambulist' from the album that features vocal performances by the actress who starred as Mary Winkler in a 2011 Lifetime Network film?,"6,178",,0,0.0,0.0,0.0,evaluated,28.8,,
hotpot,nemotron,llm_only,hotpot_llm_only_zero_shot,BQ047,bridge,hard,bridge,What is the total number of games won by the coach who led the team that entered the 1991 NCAA tournament unbeaten over his entire career?,over 700,over 700 games,0,0.8,0.666667,1.0,evaluated,27.918,2116.0,230.0
hotpot,nemotron,llm_only,hotpot_llm_only_zero_shot,BQ048,bridge,hard,bridge,"What is the name of the large sandstone rock formation in central Australia, located 335 km southwest of Alice Springs, at the base of which an Australian murderer drove a 25-tonne Mack truck into a crowded motel bar on 18 August 1983, killing five people?",Uluru,,0,0.0,0.0,0.0,evaluated,21.284,,
hotpot,nemotron,llm_only,hotpot_llm_only_zero_shot,BQ049,bridge,hard,bridge,The German actress who portrays Dr. Kate Murphy in the American television series created by Christopher Murphey was born in which month?,February,,0,0.0,0.0,0.0,evaluated,23.951,,
hotpot,nemotron,llm_only,hotpot_llm_only_zero_shot,BQ051,bridge,hard,bridge,"The historic structure named for the self-taught surveyor who helped delineate the federal capital district in 1791 is situated in which neighborhood of Washington, D.C.?",Columbia Heights,,0,0.0,0.0,0.0,evaluated,25.046,,
hotpot,nemotron,llm_only,hotpot_llm_only_zero_shot,BQ054,comparison,hard,comparison,"The historical figure who served as Prefect of Bavaria under Charlemagne and was born into the Agilofing family — in the modern-day country corresponding to the region where he held that title, what is the cardinal direction of the area relative to the national capital?",South-Eastern,south,0,0.0,0.0,0.0,evaluated,36.509,1484.0,336.0
hotpot,nemotron,llm_only,hotpot_llm_only_zero_shot,BQ057,bridge,hard,bridge,"The railway station situated in the historic locality that derives its name from a title conferred by Emperor Akbar upon a Brahmin who saved his life, and which falls under the North Central Railways zone, is located near which major historical fortification?",Agra Fort,,0,0.0,0.0,0.0,evaluated,23.999,,
