question_id,batch,category,question,expected_answer
F1,metadata,arithmetic_aggregation,"Among movies released in or after 2010, what is the average IMDb rating? Round the answer to two decimal places.",8.01
F2,metadata,genre_level_aggregation,"Among genres appearing in at least 4 movies, which genre has the lowest average IMDb rating? Round the average to two decimal places.",Sci-Fi - 8.08
F3,metadata,statistical_outlier_detection,"Among movies released in or after 2000, use the rule runtime > subset mean runtime + 1 population standard deviation. Which movies are runtime outliers?",The Lord of the Rings: The Fellowship of the Ring; The Lord of the Rings: The Two Towers; The Wolf of Wall Street; Interstellar
F4,metadata,arithmetic_aggregation,What is the total runtime of all Adventure movies released in or after 2010?,621 minutes
F5,metadata,genre_level_aggregation,"Among genres appearing in at least 3 movies, which genre has the largest IMDb rating range, calculated as maximum rating minus minimum rating?",Action - 2.2 rating points
F6,metadata,arithmetic_aggregation,Consider only directors who directed more than one movie in the dataset. What is the average runtime of all movies directed by those repeated directors? Round to two decimal places.,157.29 minutes
F7,metadata,statistical_outlier_detection,"Using the 1.5 × IQR rule for IMDb ratings, with Q1 and Q3 calculated as the medians of the lower and upper halves, which movie is a rating outlier?",Jurassic World - 6.9
F8,metadata,arithmetic_aggregation,What is the difference between the average IMDb rating of movies released before 2000 and movies released in or after 2000? Report both averages and the difference.,Before 2000: 8.44; 2000 or after: 8.26; Difference: 0.18
F9,metadata,genre_level_aggregation,"Among genres appearing in at least 3 movies, which genre has the highest total runtime across all its movies?",Drama - 1608 minutes
F10,metadata,arithmetic_aggregation,First calculate the overall mean runtime of all 20 movies. Then calculate the average IMDb rating of movies whose runtime is above that mean. Round the final rating to two decimal places.,8.53
F11,metadata,arithmetic_aggregation,What is the total runtime of all movies released before 2000?,674 minutes
F12,metadata,arithmetic_aggregation,What is the average runtime of movies released in or after 2010? Round the answer to two decimal places.,131.50 minutes
F13,metadata,arithmetic_aggregation,What is the average IMDb rating of all movies directed by Christopher Nolan? Round the answer to two decimal places.,8.73
F14,metadata,arithmetic_aggregation,"Among movies with runtime of at least 150 minutes, what is the average IMDb rating? Round the answer to two decimal places.",8.67
F15,metadata,arithmetic_aggregation,"Among movies with an IMDb rating of at least 8.5, what is the average runtime? Round the answer to two decimal places.",157.43 minutes
F16,metadata,genre_level_aggregation,"Among genres appearing in at least 4 movies, which genre has the highest average IMDb rating? Round the average to two decimal places.",Drama - 8.49
F17,metadata,genre_level_aggregation,"Among genres appearing in at least 4 movies, which genre has the lowest total runtime across all its movies? Report the genre and its total runtime in minutes.",Animation - 426 minutes
F18,metadata,genre_level_aggregation,Which genre appears in the greatest number of movies in the dataset? Report the genre and the number of movies.,Drama - 11 movies
F19,metadata,genre_level_aggregation,"Among genres appearing in at least 4 movies, which genre has the highest average runtime? Round the answer to two decimal places.",Fantasy - 154.25 minutes
F20,metadata,genre_level_aggregation,"Among genres appearing in at least 4 movies, which genre has the lowest average runtime? Round the answer to two decimal places.",Animation - 106.50 minutes
F21,metadata,genre_level_aggregation,"Among genres appearing in at least 4 movies, which genre has the highest proportion of its movies released in or after 2010? Report the genre and the percentage, rounded to two decimal places.",Sci-Fi - 75.00%
F22,metadata,genre_level_aggregation,"Among genres appearing in at least 4 movies, which genre contains the greatest number of movies with an IMDb rating of at least 8.5? Report the genre and the number of qualifying movies.",Drama - 6 movies
F23,metadata,statistical_outlier_detection,"Using all 20 movies, identify the movies whose runtime is greater than the mean runtime plus 1 population standard deviation. Calculate the mean and population standard deviation as intermediate steps. Return only the movie titles.",Saving Private Ryan; The Lord of the Rings: The Fellowship of the Ring; The Lord of the Rings: The Two Towers; The Wolf of Wall Street; Interstellar
F24,metadata,statistical_outlier_detection,"Using all 20 movies, identify the movies whose runtime is less than the mean runtime minus 1 population standard deviation. Calculate the mean and population standard deviation as intermediate steps. Return only the movie titles.",Monsters Inc.; Toy Story 3; How to Train Your Dragon; Black Swan
F25,metadata,statistical_outlier_detection,"Using all 20 movies, identify the movies whose IMDb rating is greater than the mean IMDb rating plus 1 population standard deviation. Calculate the mean and population standard deviation as intermediate steps. Return only the movie titles.",The Lord of the Rings: The Fellowship of the Ring; The Lord of the Rings: The Two Towers; The Dark Knight
F26,metadata,statistical_outlier_detection,"Among Adventure movies only, which movies have runtime greater than the Adventure-movie mean runtime + 1 population standard deviation?",The Lord of the Rings: The Fellowship of the Ring; The Lord of the Rings: The Two Towers; Interstellar
F27,metadata,statistical_outlier_detection,"Among Adventure movies only, which movies have runtime less than the Adventure-movie mean runtime - 1 population standard deviation?",Monsters Inc.; Toy Story 3; How to Train Your Dragon
F28,metadata,statistical_outlier_detection,"Among Drama movies only, which movies have runtime greater than the Drama-movie mean runtime + 1 population standard deviation?",The Lord of the Rings: The Fellowship of the Ring; The Lord of the Rings: The Two Towers
F29,metadata,statistical_outlier_detection,"Among Action movies only, which movies have runtime greater than the Action-movie mean runtime + 1 population standard deviation?",The Dark Knight
F30,metadata,statistical_outlier_detection,"Among Action movies only, which movies have runtime less than the Action-movie mean runtime - 1 population standard deviation?",How to Train Your Dragon
F31,metadata,arithmetic_aggregation,What is the total runtime of all movies with an IMDb rating of at least 8.5?,1102 minutes
F32,metadata,arithmetic_aggregation,"What is the difference between the average runtime of movies released before 2010 and movies released in or after 2010? Report both averages and the difference, rounded to two decimal places.",Before 2010: 140.17 minutes; 2010 or after: 131.50 minutes; Difference: 8.67 minutes
F33,metadata,arithmetic_aggregation,"Among movies with runtime less than 120 minutes, what is the average IMDb rating? Round the answer to two decimal places.",8.21
