neutral_id,question,ground_truth,model_response
R001,"Among movies released in or after 2010, what is the average IMDb rating? Round the answer to two decimal places.","answer_text
8.01",8.00
R002,"Among genres appearing in at least 4 movies, which genre has the lowest average IMDb rating? Round the average to two decimal places.","answer_text
Sci-Fi - 8.08",Comedy
R003,"Among movies released in or after 2000, use the rule runtime > subset mean runtime + 1 population standard deviation. Which movies are runtime outliers?","answer_text
The Lord of the Rings: The Fellowship of the Ring; The Lord of the Rings: The Two Towers; The Wolf of Wall Street; Interstellar","The movies released in or after 2000 are:
1. Memento (113)
2. The Lord of the Rings: The Fellowship of the Ring (178)
3. Monsters Inc. (92)
4. Catch Me If You Can (141)
5. The Lord of the Rings: The Two Towers (179)
6. The Dark Knight (152)
7. Inglourious Basterds (153)
8. Toy Story 3 (103)
9. How to Train Your Dragon (98)
10. Black Swan (108)
11. The Avengers (143)
12. Life of Pi (127)
13. The Wolf of Wall Street (180)
14. Interstellar (169)
15. Jurassic World (124)

Subset Runtimes: {113, 178, 92, 141, 179, 152, 153, 103, 98, 108, 143, 127, 180, 169, 124}
Subset Mean: 1860 / 15 = 124
Population Variance: [(113-124)^2 + (178-124)^2 + (92-124)^2 + (141-124)^2 + (179-124)^2 + (152-124)^2 + (153-124)^2 + (103-124)^2 + (98-124)^2 + (108-124)^2 + (143-124)^2 + (127-124)^2 + (180-124)^2 + (169-124)^2 + (124-124)^2] / 15
= [121 + 2916 + 1024 + 289 + 3025 + 784 + 841 + 441 + 676 + 256 + 361 + 9 + 3136 + 2025 + 0] / 15
= 15904 / 15 = 1060.2666666666667
Population Standard Deviation: sqrt(1060.2666666666667) ≈ 32.561736236286
Threshold (Mean + 1 SD): 124 + 32.561736236286 = 156.561736236286

Movies with runtime > 156.561736236286:
- The Lord of the Rings: The Fellowship of the Ring (178)
- The Lord of the Rings: The Two Towers (179)
- The Wolf of Wall Street (180)
- Interstellar (169)

The Lord of the Rings: The Fellowship of the Ring, The Lord of the Rings: The Two Towers, The Wolf of Wall Street, Interstellar"
R004,What is the total runtime of all Adventure movies released in or after 2010?,"answer_text
621 minutes",621
R005,"Among genres appearing in at least 3 movies, which genre has the largest IMDb rating range, calculated as maximum rating minus minimum rating?","answer_text
Action - 2.2 rating points",Adventure
R006,Consider only directors who directed more than one movie in the dataset. What is the average runtime of all movies directed by those repeated directors? Round to two decimal places.,"answer_text
157.29 minutes",148.00
R007,"Using the 1.5 × IQR rule for IMDb ratings, with Q1 and Q3 calculated as the medians of the lower and upper halves, which movie is a rating outlier?","answer_text
Jurassic World - 6.9",Jurassic World
R008,What is the difference between the average IMDb rating of movies released before 2000 and movies released in or after 2000? Report both averages and the difference.,"answer_text
Before 2000: 8.44; 2000 or after: 8.26; Difference: 0.18","Average IMDb rating of movies released before 2000: 8.42
Average IMDb rating of movies released in or after 2000: 8.23
Difference: 0.19"
R009,"Among genres appearing in at least 3 movies, which genre has the highest total runtime across all its movies?","answer_text
Drama - 1608 minutes",Drama
R010,First calculate the overall mean runtime of all 20 movies. Then calculate the average IMDb rating of movies whose runtime is above that mean. Round the final rating to two decimal places.,"answer_text
8.53",8.44
R011,What is the total runtime of all movies released before 2000?,"answer_text
674 minutes",635
R012,What is the average runtime of movies released in or after 2010? Round the answer to two decimal places.,"answer_text
131.50 minutes",130.75
R013,What is the average IMDb rating of all movies directed by Christopher Nolan? Round the answer to two decimal places.,"answer_text
8.73",8.73
R014,"Among movies with runtime of at least 150 minutes, what is the average IMDb rating? Round the answer to two decimal places.","answer_text
8.67",8.63
R015,"Among movies with an IMDb rating of at least 8.5, what is the average runtime? Round the answer to two decimal places.","answer_text
157.43 minutes",152.80
R016,"Among genres appearing in at least 4 movies, which genre has the highest average IMDb rating? Round the average to two decimal places.","answer_text
Drama - 8.49",Adventure: 8.36
R017,"Among genres appearing in at least 4 movies, which genre has the lowest total runtime across all its movies? Report the genre and its total runtime in minutes.","answer_text
Animation - 426 minutes","To determine the genre with the lowest total runtime among those appearing in at least 4 movies, we first count the occurrences of each genre:

1.  **Adventure**: Princess Mononoke (133), LOTR: Fellowship (178), Monsters Inc. (92), LOTR: Two Towers (179), Inglorious Basterds (153), Toy Story 3 (103), How to Train Your Dragon (98), Life of Pi (127), Interstellar (169), Jurassic World (124). **(10 movies)**
2.  **Animation**: Princess Mononoke (133), Monsters Inc. (92), Toy Story 3 (103), How to Train Your Dragon (98). **(4 movies)**
3.  **Fantasy**: Princess Mononoke (133), LOTR: Fellowship (178), LOTR: Two Towers (179), Life of Pi (127). **(4 movies)**
4.  **Comedy**: The Big Lebowski (117), Monsters Inc. (92), Toy Story 3 (103), The Wolf of Wall Street (180). **(4 movies)**
5.  **Crime**: The Big Lebowski (117), American History X (119), Catch Me If You Can (141), The Dark Knight (152), The Wolf of Wall Street (180). **(5 movies)**
6.  **Drama**: American History X (119), Saving Private Ryan (169), Memento (113), LOTR: Fellowship (178), Catch Me If You Can (141), LOTR: Two Towers (179), The Dark Knight (152), Inglorious Basterds (153), Black Swan (108), Life of Pi (127), Interstellar (169). **(11 movies)**
7.  **Action**: The Matrix (136), The Dark Knight (152), How to Train Your Dragon (98), The Avengers (143), Jurassic World (124). **(5 movies)**

Next, we calculate the total runtime for the qualifying genres:
*   **Animation**: 133 + 92 + 103 + 98 = 426 minutes
*   **Fantasy**: 133 + 178 + 179 + 127 = 617 minutes
*   **Comedy**: 117 + 92 + 103 + 180 = 492 minutes
*   **Crime**: 117 + 119 + 141 + 152 + 180 = 709 minutes
*   **Drama**: 119 + 169 + 113 + 178 + 141 + 179 + 152 + 153 + 108 + 127 + 169 = 1608 minutes
*   **Action**: 136 + 152 + 98 + 143 + 124 = 653 minutes
*   **Adventure**: 133 + 178 + 92 + 179 + 153 + 103 + 98 + 127 + 169 + 124 = 1356 minutes

Comparing the totals, Animation has the lowest total runtime.

Animation, 426 minutes"
R018,Which genre appears in the greatest number of movies in the dataset? Report the genre and the number of movies.,"answer_text
Drama - 11 movies","Drama, 8"
R019,"Among genres appearing in at least 4 movies, which genre has the highest average runtime? Round the answer to two decimal places.","answer_text
Fantasy - 154.25 minutes","To determine the genre with the highest average runtime among those appearing in at least 4 movies, we first list the movies and their runtimes:

1.  **Princess Mononoke**: 133 min (Adventure, Animation, Fantasy)
2.  **The Big Lebowski**: 117 min (Comedy, Crime)
3.  **American History X**: 119 min (Crime, Drama)
4.  **Saving Private Ryan**: 169 min (Drama, War)
5.  **The Matrix**: 136 min (Action, Sci-Fi)
6.  **Memento**: 113 min (Drama, Mystery, Thriller)
7.  **The Lord of the Rings: The Fellowship of the Ring**: 178 min (Adventure, Drama, Fantasy)
8.  **Monsters Inc.**: 92 min (Adventure, Animation, Comedy)
9.  **Catch Me If You Can**: 141 min (Biography, Crime, Drama)
10. **The Lord of the Rings: The Two Towers**: 179 min (Adventure, Drama, Fantasy)
11. **The Dark Knight**: 152 min (Action, Crime, Drama)
12. **Inglourious Basterds**: 153 min (Adventure, Drama, War)
13. **Toy Story 3**: 103 min (Adventure, Animation, Comedy)
14. **How to Train Your Dragon**: 98 min (Action, Adventure, Animation)
15. **Black Swan**: 108 min (Drama, Thriller)
16. **The Avengers**: 143 min (Action, Sci-Fi)
17. **Life of Pi**: 127 min (Adventure, Drama, Fantasy)
18. **The Wolf of Wall Street**: 180 min (Biography, Comedy, Crime)
19. **Interstellar**: 169 min (Adventure, Drama, Sci-Fi)
20. **Jurassic World**: 124 min (Action, Adventure, Sci-Fi)

**Genre Counts:**
*   **Adventure**: 1, 7, 8, 10, 12, 13, 14, 17, 19, 20 (10 movies)
*   **Animation**: 1, 8, 13, 14 (4 movies)
*   **Comedy**: 2, 8, 13, 18 (4 movies)
*   **Crime**: 2, 3, 9, 11, 18 (5 movies)
*   **Drama**: 3, 4, 6, 7, 9, 10, 11, 12, 15, 17, 19 (11 movies)
*   **Action**: 5, 11, 14, 16, 20 (5 movies)
*   **Sci-Fi**: 5, 16, 19, 20 (4 movies)

**Average Runtimes:**
*   **Adventure**: (133+178+92+179+153+103+98+127+169+124) / 10 = 1356 / 10 = 135.6
*   **Animation**: (133+92+103+98) / 4 = 426 / 4 = 106.5
*   **Comedy**: (117+92+103+180) / 4 = 492 / 4 = 123.0
*   **Crime**: (117+119+141+152+180) / 5 = 709 / 5 = 141.8
*   **Drama**: (119+169+113+178+141+179+152+153+108+127+169) / 11 = 1608 / 11 ≈ 146.18
*   **Action**: (136+152+98+143+124) / 5 = 653 / 5 = 130.6
*   **Sci-Fi**: (136+143+169+124) / 4 = 572 / 4 = 143.0

The genre with the highest average runtime is Drama.

146.18"
R020,"Among genres appearing in at least 4 movies, which genre has the lowest average runtime? Round the answer to two decimal places.","answer_text
Animation - 106.50 minutes",Animation: 107.67
